,Fiscal Year,Debt Covenant Ratio,Rate Covenant Ratio,Partial Debt Covenant Failure,Partial Rate Covenant Failure,Reserve Fund Balance Initial Failure,R&R Fund Balance Initial Failure,Cap on Rate Stabilization Fund Transfers In,Rate Stabilization Funds Transferred In,Required R&R Fund Deposit,Required Reserve Fund Deposit,Necessary Use of Other Funds (Rate Stabilization Supplement),Final Net Revenues,Fixed Sales Revenue,Variable Sales Revenue,Reserve Fund Balancing Failure,Remaining Unallocated Deficit
0,2021.0,1.333726694981515,1.9072802085288778,0.0,0.0,0.0,0.0,4233325.0,865590.6457436786,3000000.0,0.0,0.0,104374039.7717898,152115106.99999997,24227882.802702263,0.0,0.0
1,2022.0,2.1074830772914046,2.808505657001844,0.0,0.0,0.0,0.0,0.0,0.0,4900000.0,0.0,0.0,168688696.92507744,158321385.157,25882805.03648,0.0,0.0
2,2023.0,2.233803326190567,3.0184706214832384,0.0,0.0,0.0,0.0,8211348.974326159,2400000.0,2600000.0,0.0,0.0,156729886.17983356,149441899.78710103,28875511.428197835,0.0,0.0
3,2024.0,2.1767497596199936,3.022619378703877,0.0,0.0,0.0,0.0,8064058.57637316,4800000.0,3000000.0,0.0,0.0,157292255.60862198,152469717.07707536,29463136.32231885,0.0,0.0
4,2025.0,2.2216238047259225,3.180688643010929,0.0,0.0,0.0,0.0,8195284.80066017,1200000.0,4700000.0,0.0,0.0,164734772.6220533,154527889.31061885,30294926.55878755,0.0,0.0
5,2026.0,2.038122072125531,2.6729415173251967,0.0,0.0,0.0,0.0,8208884.22984736,1500000.0,2800000.0,0.0,0.0,196885657.949595,182136572.87786925,30707965.450590335,0.0,0.0
6,2027.0,1.9206031385343107,2.407219087375661,0.0,0.0,0.0,0.0,9215281.482997814,9215281.482997814,4800000.0,0.0,0.0,269783758.0852225,225722112.7862949,32353895.6491849,0.0,0.0
7,2028.0,1.8202099172509898,2.235840109474012,0.0,0.0,1.0,0.0,11042773.944563594,10200000.0,3100000.0,765009.9553214908,0.0,308114744.10471034,257047946.65304378,33058868.639468793,0.0,0.0
8,2029.0,1.9989451955965314,2.6698952130007636,0.0,0.0,1.0,0.0,12948717.736050623,12948717.736050623,3100000.0,3747996.003251232,0.0,236399501.9232389,209797132.57205787,34248805.67887838,0.0,0.0
9,2030.0,2.360247093758184,3.7652480282556833,0.0,0.0,0.0,0.0,12135125.744307462,4200000.0,4800000.0,0.0,0.0,164871117.36773,165850938.55721498,37164204.74092814,0.0,0.0
10,2031.0,3.2820912592199187,7.0228315964615105,0.0,0.0,0.0,0.0,9970030.129325327,4050000.0,3500000.0,0.0,0.0,111678447.21534204,126108282.16760306,38458125.78703486,0.0,0.0
11,2032.0,2.427460456518193,3.7945607316317176,0.0,0.0,0.0,0.0,8488231.652916236,6300000.0,4500000.0,0.0,0.0,168021677.2575385,164802328.3609651,38473668.84586115,0.0,0.0
12,2033.0,2.335841204891506,3.5220337853322845,0.0,0.0,0.0,0.0,9065697.617256032,5250000.0,4600000.0,0.0,0.0,181628486.01708075,177911216.25955847,39988176.34005229,0.0,0.0
13,2034.0,2.176519479761179,3.104557421480958,0.0,0.0,0.0,0.0,9996989.990984984,8850000.0,3000000.0,0.0,0.0,218267015.8307902,203674707.77780554,41823275.356844075,0.0,0.0
14,2035.0,2.125120394298679,3.1068612021738,0.0,0.0,0.0,0.0,11427050.259576876,2250000.0,4200000.0,0.0,0.0,222725259.95252216,210284079.9411546,44080226.436190784,0.0,0.0
15,2036.0,1.9151045480607143,2.4864292924642184,0.0,0.0,0.0,0.0,11826961.067180337,11826961.067180337,4099999.9999999995,0.0,0.0,312638167.21766055,274135963.49689436,43721600.13305439,0.0,0.0
16,2037.0,1.8901340965068543,2.4265561628769308,0.0,0.0,0.0,0.0,14300720.456022799,14100000.0,3500000.0,0.0,0.0,348938884.7692605,298555469.8549733,45573383.595705666,0.0,0.0
17,2038.0,2.2594881552069306,3.5679254965203686,0.0,0.0,0.0,0.0,15829613.898067957,15829613.898067957,4800000.0,0.0,0.0,220037098.35985738,213626045.19186905,48838294.898028314,0.0,0.0
18,2039.0,2.3263623109935723,3.6885331696848174,0.0,0.0,0.0,0.0,13806750.872150762,7950000.0,4700000.0,0.0,0.0,219824089.50214165,216401610.72288227,50198502.39047355,0.0,0.0
