,Fiscal Year,Annual Estimate,Gross Revenues,Water Sales Revenue,Fixed Operating Expenses,Variable Operating Expenses,Net Revenues,Debt Service,Acquisition Credits,Unencumbered Carryover Funds,R&R Fund Deposit,Rate Stabilization Fund Deposit,Other Funds Deposit,Uniform Rate,Variable Uniform Rate,TBC Rate,Rate Stabilization Fund Transfers In,R&R Fund Transfers In,Other Funds Transfers In,Interest Income,CIP Fund Transfer In,CIP Fund Deposit,Energy Savings Fund Transfer In,Energy Savings Fund Deposit,Debt Service Deferred
0,2020.0,168872283.0,177428927.0,169766978.0,61849872.0,26657538.0,88921517.0,70133315.0,10231558.0,4168060.0,4500000.0,0.0,1712872.0,2.559,0.4028,0.195,1600000.0,6607280.0,0.0,1893889.0,0.0,2343772.0,0.0,0.0,0.0
1,2021.0,178053678.0,182829643.0,175384352.0,71789709.0,25938571.0,85101363.0,70093840.0,10231558.0,4233325.0,3000000.0,0.0,0.0,2.559,0.3848,0.195,0.0,0.0,0.0,3211966.0,0.0,1775965.0,0.0,0.0,0.0
2,2022.0,185115929.0,269817381.1465842,175153964.2397078,74158769.397,26794543.843,168864067.9065842,71153640.0,10231558.0,88222809.86019377,3200000.0,0.0,0.0,2.5634,0.4174,0.195,0.0,4465131.381158243,0.0,1975475.665524407,0.0,1257050.1463691331,0.0,1144627.846345883,0.0
3,2023.0,181120663.57692,268920364.8144564,171780292.0007642,76606008.787101,27678763.789818995,164635592.2375364,62604333.0,10231558.0,92253153.11755735,3200000.0,0.0,0.0,2.877683735049751,0.4477290596383612,0.195,4000000.0,3221269.6251817225,0.0,1665650.0709531487,0.0,455433.2308754391,0.0,1277422.5491645732,0.0
4,2024.0,183761880.07195836,271152560.4050521,174701026.60194013,79134007.07707533,28592162.99488302,163426390.33309376,63104152.0,10231558.0,89075636.92681909,3900000.0,0.0,0.0,2.8315330575787963,0.4525979237912079,0.195,2700000.0,4884226.304724856,0.0,2491670.571568082,0.0,905414.7724232974,0.0,1680712.147431785,0.0
5,2025.0,188963593.68433297,283498095.8691025,180623397.38341093,81745429.31061882,29535704.373714156,172216962.1847695,62550902.0,10231558.0,90807253.67027704,3200000.0,0.0,0.0,2.8934271371794686,0.4752422807086702,0.195,4900000.0,9140770.632520754,0.0,2926674.1828937554,0.0,1516692.952474622,0.0,981602.5310313794,0.0
6,2026.0,218456660.09591597,311983122.4446832,209731950.0775315,85064687.87786923,30620087.21804672,196298347.34876722,86840327.0,10231558.0,92857202.34498942,3400000.0,0.0,0.0,3.300169011310583,0.4794417804149858,0.195,5700000.0,7687663.549225938,0.0,1706306.4729363916,0.0,1512816.1456854604,0.0,161922.7552717537,0.0
7,2027.0,261281557.6532474,378243042.2647941,253316355.81463557,88493481.97783892,31740254.69624226,258009305.5907129,129516262.97916621,10231558.0,106405429.28730097,4300000.0,0.0,0.0,4.0320073756930395,0.5187600079438062,0.195,1300000.0,14583780.103118006,0.0,3937477.059739546,0.0,1890647.4740593978,0.0,6534.669256363923,20812370.02083379
8,2028.0,293892515.81364137,426810883.02193815,285021575.2842648,92035426.2831076,32897387.701218255,301878069.0376123,154528143.8293155,10231558.0,131286039.59949088,3400000.0,0.0,0.0,4.430814965416099,0.5106045785097211,0.195,4200000.0,8422616.23874298,0.0,2080651.8994394348,0.0,715213.6783872556,0.0,912097.6207805969,41012341.19151828
9,2029.0,241923467.03732687,393398371.34068984,233693661.88827688,95694254.75045013,34092706.09535845,263611410.49488124,101604948.19151828,10231558.0,145046166.8778612,4400000.0,0.0,0.0,3.6980855577712655,0.545784770672983,0.195,300000.0,10920788.305334024,0.0,3737754.2692177473,0.0,2233882.678964402,0.0,166889.8335979696,0.0
10,2030.0,203878408.55372027,329270522.0495843,195851964.77860606,99473824.55721498,35327469.99650528,194469227.49586406,56145556.0,10231558.0,121226984.86388518,4600000.0,0.0,0.0,3.1638100096968236,0.5763831519936596,0.195,2700000.0,9963297.042207684,0.0,2228275.3648854247,0.0,3397147.811255427,0.0,746687.0384249389,0.0
11,2031.0,163611263.27399302,270921018.0723618,164793128.41474104,103378120.16760306,36602981.106389955,130939916.7983688,22730162.0,0.0,101487473.62984404,3500000.0,0.0,0.0,2.5149569937989313,0.5748163556672726,0.195,900000.0,3464596.569382528,0.0,1175819.4583941987,0.0,1184336.3681787872,0.0,1508807.4311208413,0.0
