,Fiscal Year,Uniform Rate (Full),Uniform Rate (Variable Portion),TBC Sales Rate,Interest Income,Gross Revenues,Debt Service,Acquisition Credits,Fixed Operational Expenses,Variable Operational Expenses,Utility Reserve Fund Balance (Total),R&R Fund (Total),R&R Fund (Deposit),R&R Fund (Transfer In),Rate Stabilization Fund (Deposit),Rate Stabilization Fund (Total),Rate Stabilization Fund (Transfer In),Unencumbered Funds,CIP Fund (Total),CIP Fund (Deposit),CIP Fund (Transfer In),Misc. Income,Insurance-Litigation-Arbitrage Income,Uniform Sales Revenues,Energy Savings Fund (Total),Energy Savings Fund (Deposit),Energy Savings Fund (Transfer In)
0,2019.0,2.559,0.3988,0.157,3804846.0,183438752.0,70122276.0,10231557.0,49732982.13999998,19832479.01,29652353.0,33914245.0,5509008.0,0.0,17086535.0,41581818.45,7039535.0,4772886.0,27141633.0,5356993.0,653919.0,460656.0,6476.0,166187166.0,553050.0,270869.0,0.0
1,2020.0,2.559,0.4028,0.195,3738379.0,195303127.0,70354915.0,10231558.0,62503746.0,22008411.0,29314554.0,32687852.0,4988288.0,2593877.0,17374383.0,35700886.0,11468475.0,4168060.0,25046262.0,7427045.0,1752408.0,492126.0,19851.0,170303928.0,950977.0,338228.0,0.0
2,2021.0,2.559,0.3848,0.195,4817949.0,191033000.0361054,70093840.0,10231558.0,50252796.3,23344713.900000002,31146703.531195242,36280293.68192296,3000000.0,0.0,0.0,60082077.83988061,1009201.3230618287,28976667.602753296,26426807.813922968,4301937.3937050365,3375335.435902167,355034.28182045463,796535.274933361,176445619.72038758,1799699.5519645836,1009201.3230618287,177714.483414777
3,2022.0,2.5634,0.4174,0.195,1763573.2631673627,279408297.1720523,71153640.0,10231558.0,51911138.5779,24115089.458699998,31800429.45502091,39754085.32201751,4000000.0,733035.075925606,19738192.129380394,84193129.16544904,0.0,92253153.11755736,29159362.803234518,5121485.577808262,2539584.5474466905,1568228.6264210697,74759.56378316424,184506306.23511472,2693999.590759632,1107260.2146171904,223219.90391087154
4,2023.0,2.845907308459666,0.4664831552732444,0.195,2438691.300543852,281782361.1422232,62604333.0,10231558.0,53624206.1509707,24910887.410837095,32677664.61948476,39649943.3075819,2700000.0,3077652.0699581057,30556253.23615931,109750680.7596454,3000000.0,89675198.6202935,34272389.11216688,5957467.768077266,1045059.304448365,339573.13899581,277834.97013271204,179350397.240587,4234991.395873108,1640300.2174316877,117843.26154635353
5,2024.0,2.8145834793413673,0.4650399667336487,0.195,3854164.4507852765,288046871.15218055,63104152.0,10231558.0,55393804.95395273,25732946.695394717,34042947.08611631,41460219.95936985,4300000.0,2883652.1683497266,30479957.066056952,140453361.81348407,2400000.0,91207531.2336016,38852209.420797594,7138728.026733596,2899409.63765225,2159625.8243981972,1759757.9834983689,182415062.4672032,4735259.920339869,595174.3416935742,136981.1652526071
6,2025.0,2.917926477656771,0.4634545099534626,0.195,3569743.5886210306,295956614.9218416,62550902.0,10231558.0,57221800.51743317,26582133.936342742,35281730.46883344,43613362.31171249,3200000.0,1381716.9010961985,34946536.610620305,169511617.81237948,8287959.311715197,92472818.7526978,42474366.861139394,7853239.0829054825,4544876.934866691,754706.3329557329,1264443.1135895995,184945637.5053956,5671130.929867005,1216484.9125165315,318858.8906744038
7,2026.0,3.2775088941285646,0.4851161274840433,0.195,2503441.85679815,325247342.1349509,86840327.0,10231558.0,59545281.514508456,27558078.49624205,36137212.11473456,44210328.19482121,3400000.0,3024986.9903302765,20874541.320872977,199062568.92254305,6300000.0,106586566.53519683,45497409.933354855,8412263.712672263,5605377.04924165,1202595.7534453403,964988.6620440063,213173133.07039365,7498717.452212867,1924178.0935897827,125452.53813146472
8,2027.0,4.105811958427413,0.5123120909229071,0.195,5061519.846392835,390564964.7032448,130098936.85398036,10231558.0,61945437.38448724,28566229.226618037,37822307.44009163,45893269.43671442,4800000.0,3506693.820823055,17163526.22194396,234510600.47390822,8250000.0,131366690.93840535,51616978.51914193,6673611.990737877,955021.7938623576,2673327.7807911043,798453.0493679462,262733381.8768107,7283779.337409972,4124.756055277512,285150.66898329
9,2028.0,4.451889266903718,0.5236517037565457,0.195,2550543.1731546107,444903784.4467977,156225985.88129792,10231558.0,64424798.398175314,29607648.93109643,39912494.216235906,44178978.996287264,2800000.0,4682752.901033345,25761858.657631874,270232140.12642753,5850000.0,146315543.46587342,53908928.21544586,8052335.917527009,5949858.954744107,1217571.7210373285,655279.8266761814,292631086.93174684,7531867.327501443,584301.451709049,362950.3536445156
