,Fiscal Year,Uniform Rate (Full),Uniform Rate (Variable Portion),TBC Sales Rate,Interest Income,Gross Revenues,Debt Service,Acquisition Credits,Fixed Operational Expenses,Variable Operational Expenses,Utility Reserve Fund Balance (Total),R&R Fund (Total),R&R Fund (Deposit),R&R Fund (Transfer In),Rate Stabilization Fund (Deposit),Rate Stabilization Fund (Total),Rate Stabilization Fund (Transfer In),Unencumbered Funds,CIP Fund (Total),CIP Fund (Deposit),CIP Fund (Transfer In),Misc. Income,Insurance-Litigation-Arbitrage Income,Uniform Sales Revenues,Energy Savings Fund (Total),Energy Savings Fund (Deposit),Energy Savings Fund (Transfer In)
0,2019.0,2.559,0.3988,0.157,3804846.0,183438752.0,70122276.0,10231557.0,49732982.13999998,19832479.01,29652353.0,33914245.0,5509008.0,0.0,17086535.0,41581818.45,7039535.0,4772886.0,27141633.0,5356993.0,653919.0,460656.0,6476.0,166187166.0,553050.0,270869.0,0.0
1,2020.0,2.559,0.4028,0.195,3738379.0,195303127.0,70354915.0,10231558.0,62503746.0,22008411.0,29314554.0,32687852.0,4988288.0,2593877.0,17374383.0,35700886.0,11468475.0,4168060.0,25046262.0,7427045.0,1752408.0,492126.0,19851.0,170303928.0,950977.0,338228.0,0.0
2,2021.0,2.559,0.3848,0.195,4817949.0,191098675.75288844,70093840.0,10231558.0,50252796.3,23344713.900000002,31146703.531195242,36280293.68192296,3000000.0,0.0,0.0,59429049.15156395,865590.6457436786,28180028.237118483,27768240.296522766,5163602.221501301,2895567.7810986335,1751019.2777916812,89604.32786688472,176445619.72038758,1800349.8065861983,865590.6457436786,33453.55147501214
3,2022.0,2.5634,0.4174,0.195,2950378.130247497,282821749.2222203,71153640.0,10231558.0,51911138.5779,24115089.458699998,32239453.75822004,39014870.97106414,4900000.0,2510381.8872416085,22609006.258621737,86633460.13117106,0.0,92253153.11755736,29265476.35931956,3989089.046195144,2755878.1146794893,984404.2144682086,891590.7802749843,184506306.23511472,3476542.6006819187,1758623.400571947,99548.63732585937
4,2023.0,2.839552023141649,0.4516083238177092,0.195,3356813.900668515,281720004.92463994,62604333.0,10231558.0,53624206.1509707,24910887.410837095,33447577.103253037,40574135.6700968,2600000.0,1405941.4854644174,33450896.109694555,115441807.85463285,2400000.0,89199655.60764943,33131254.474540718,4958462.59719075,1366629.5878396905,1821949.2365585035,716206.3812526608,178399311.21529886,3649091.492947187,349146.2223040562,209140.17400662406
5,2024.0,2.8392374113230816,0.45790926213376065,0.195,2179197.561329772,287346197.72233313,63104152.0,10231558.0,55393804.95395273,25732946.695394717,34220170.97943632,41704200.62953452,3000000.0,2093394.6711547202,31985519.744293377,145041587.55775025,4800000.0,90978126.6996971,34852998.91173481,6155994.079483796,4616718.048915591,1873521.719812149,627456.7140772265,181956253.3993942,4433284.196065093,900342.2160648422,136246.66655341352
6,2025.0,2.8306475772063804,0.46452249326229095,0.195,2917994.132160099,286479132.7927203,62550902.0,10231558.0,57221800.51743317,26582133.936342742,35233457.46680122,45214118.10967615,4700000.0,1464812.2263402792,23940893.634538665,170267471.64877462,1200000.0,92507644.27393332,39679147.4727427,6899713.5414896365,2303161.8560121777,735219.9248070323,1864529.405836995,185015288.54786664,6306975.693877478,1945471.6666383913,100984.77765558574
7,2026.0,3.2291673108069245,0.48098239256535097,0.195,2027440.217269605,317492682.0211399,86840327.0,10231558.0,59545281.514508456,27558078.49624205,35926019.62012928,45745535.345718354,2800000.0,2454853.958466253,16007391.572970241,199423288.5217062,1500000.0,106454608.90948409,41993932.621198356,6961177.219158742,4809860.52935789,528088.4415361987,755576.7816084811,212909217.81896818,7427218.211999753,1236097.559895667,141838.25111930148
8,2027.0,4.078006210533059,0.4950866028370362,0.195,6083193.099285765,386952405.9248407,126997072.80845597,10231558.0,61945437.38448724,28566229.226618037,37950739.74498093,50186481.75591277,4800000.0,845792.6298709834,14760866.743393347,229889073.52368638,9215281.482997814,129252916.33331217,50293165.466214746,8671175.249862459,818763.8552485786,2885089.4901583735,2143843.791170689,258505832.66662434,9233395.054964682,1932241.2568949312,205091.07818355356
9,2028.0,4.47382494492648,0.5129236459428126,0.195,6802802.856431597,446330125.1576316,154780962.3699363,10231558.0,64424798.398175314,29607648.93109643,40926037.636542924,50838166.37780716,3100000.0,2942277.1591856694,25288478.879528403,263234635.60895905,10200000.0,145247310.2204288,57225896.67443809,11393329.119501982,4955609.729613938,1631350.1463546213,50548.491876037886,290494620.4408576,10815304.274940789,1901240.5239528534,410211.24030997587
