,Fiscal Year,Month,Water Delivery - City of St. Petersburg,Water Delivery - Pinellas County,Water Delivery - City of Tampa (Uniform),Water Delivery - Hillsborough County,Water Delivery - Pasco County,Water Delivery - City of New Port Richey,Water Delivery - Uniform Sales Total,Fixed Water Sales - City of St. Petersburg,Fixed Water Sales - Pinellas County,Fixed Water Sales - City of Tampa (Uniform),Fixed Water Sales - Hillsborough County,Fixed Water Sales - Pasco County,Fixed Water Sales - City of New Port Richey,Variable Water Sales - City of St. Petersburg,Variable Water Sales - Pinellas County,Variable Water Sales - City of Tampa (Uniform),Variable Water Sales - Hillsborough County,Variable Water Sales - Pasco County,Variable Water Sales - City of New Port Richey,TBC Delivery - City of Tampa,TBC Sales - City of Tampa
50,2024.0,12.0,813.7810000000001,1492.7802000000001,0.0,1916.6277,943.5314999999999,82.5313,5249.251699999999,1940522.6829306937,3597841.802493198,54606.56397068862,4591126.155332228,2316306.8569366154,205405.6947595201,368315.591020733,675629.2191966241,0.0,867461.7177007181,427040.39793160406,37353.495027789315,0.0,0.0
51,2024.0,1.0,798.7522,1476.1053000000002,0.0,1849.7421,919.1376,81.84620000000001,5125.5833999999995,1940522.6829306937,3597841.802493198,54606.56397068862,4591126.155332228,2316306.8569366154,205405.6947595201,361513.58734365966,668082.194077198,0.0,837189.4340091889,415999.7694384337,37043.42019019997,0.0,0.0
52,2024.0,2.0,769.9413000000001,1400.2649999999999,0.0,1756.994,881.0171,78.4885,4886.7059,1940522.6829306937,3597841.802493198,54606.56397068862,4591126.155332228,2316306.8569366154,205405.6947595201,348473.83382110356,633757.0317574956,0.0,795211.8365136095,398746.510284551,35523.73214148622,0.0,0.0
53,2024.0,3.0,838.054,1589.0166,0.0,2018.9245999999998,1017.5998000000001,91.04079999999999,5554.6358,1940522.6829306937,3597841.802493198,54606.56397068862,4591126.155332228,2316306.8569366154,205405.6947595201,379301.5004249169,719185.6140297642,0.0,913761.0822509949,460563.5567303484,41204.87706029059,0.0,0.0
54,2024.0,4.0,821.8290000000001,1579.227,0.0,2109.657,1054.791,90.31800000000001,5655.822,1940522.6829306937,3597841.802493198,54606.56397068862,4591126.155332228,2316306.8569366154,205405.6947595201,371958.0991114046,714754.8613950178,0.0,954826.3781115884,477396.21663365193,40877.73928097432,0.0,0.0
55,2024.0,5.0,867.2777,1676.6939,0.0,2376.2151000000003,1195.2080999999998,100.46170000000001,6215.856500000001,1940522.6829306937,3597841.802493198,54606.56397068862,4591126.155332228,2316306.8569366154,205405.6947595201,392528.086370414,758868.1779733831,0.0,1075470.0207413174,540948.7045584343,45468.75684053519,120.0,23400.000000000004
56,2024.0,6.0,814.122,1541.955,0.0,1975.6860000000001,1039.002,90.0297,5460.7947,1940522.6829306937,3597841.802493198,54606.56397068862,4591126.155332228,2316306.8569366154,205405.6947595201,368469.92691274575,697885.6315794719,0.0,894191.3816633564,470250.14801491256,40747.25529954531,0.0,0.0
57,2024.0,7.0,820.5917000000001,1507.7129,0.0,1863.0776,953.5568999999999,85.4856,5230.4247,1940522.6829306937,3597841.802493198,54606.56397068862,4591126.155332228,2316306.8569366154,205405.6947595201,371398.09970029775,682387.7282132211,0.0,843225.0536219066,431577.87315678044,38690.605074045685,0.0,0.0
58,2024.0,8.0,816.3044,1475.8325,0.0,1840.2250999999999,940.7787,86.3009,5159.441599999999,1940522.6829306937,3597841.802493198,54606.56397068862,4591126.155332228,2316306.8569366154,205405.6947595201,369457.6766216277,667958.7253635878,0.0,832882.0595684679,425794.48636699165,39059.60816131265,0.0,0.0
59,2024.0,9.0,782.745,1403.1000000000001,0.0,1793.541,904.737,82.29899999999999,4966.4220000000005,1940522.6829306937,3597841.802493198,54606.56397068862,4591126.155332228,2316306.8569366154,205405.6947595201,354268.761857949,635040.1468714438,0.0,811752.9328344068,409482.08777708607,37248.35653009261,0.0,0.0
60,2025.0,10.0,824.1659999999999,1515.3513,0.0,2013.6390999999999,1006.2692999999999,87.08519999999999,5446.510899999999,1959786.124898346,3637710.053424625,0.0,4703042.344916723,2368375.8493563067,208409.73662223583,391678.52952254185,720159.0078868484,0.0,956966.438408154,478221.717139117,41386.56906397067,0.0,0.0
61,2025.0,11.0,793.467,1485.117,0.0,1979.691,975.822,84.378,5318.475,1959786.124898346,3637710.053424625,0.0,4703042.344916723,2368375.8493563067,208409.73662223583,377089.0667470664,705790.3901992181,0.0,940832.865938428,463751.872845696,40099.99316163617,0.0,0.0
62,2025.0,12.0,798.374,1476.5424,0.0,1914.1446,942.4092999999999,82.0136,5213.483899999999,1959786.124898346,3637710.053424625,0.0,4703042.344916723,2368375.8493563067,208409.73662223583,379421.08061850385,701715.3777390536,0.0,909682.4453101852,447872.7450930613,38976.330313128594,0.0,0.0
63,2025.0,1.0,791.5757,1464.0711,0.0,1852.6375,916.2360000000001,81.15489999999998,5105.675200000001,1959786.124898346,3637710.053424625,0.0,4703042.344916723,2368375.8493563067,208409.73662223583,376190.2410215621,695788.4886836516,0.0,880451.670826409,435434.0863073892,38568.23976668405,0.0,0.0
64,2025.0,2.0,736.7136,1340.9564,0.0,1699.0821,847.9548000000001,75.1464,4699.8533,1959786.124898346,3637710.053424625,0.0,4703042.344916723,2368375.8493563067,208409.73662223583,350117.451493095,637279.1778668879,0.0,807475.6523152769,402983.9730898643,35712.746523046015,0.0,0.0
65,2025.0,3.0,828.169607923677,1571.6793479818807,84.96642093836456,2016.3836831984738,1011.535582726674,90.03305723092953,5602.7677,1959786.124898346,3637710.053424625,0.0,4703042.344916723,2368375.8493563067,208409.73662223583,393581.2132832534,746928.4778776247,40379.63567040129,958270.7803869914,480724.4773529983,42787.51545760118,315.0,61425.00000000001
66,2025.0,4.0,814.0765245839935,1565.6633054644083,170.55471449096265,2112.082958881021,1051.037438196384,89.53155838322989,5802.9465,1959786.124898346,3637710.053424625,0.0,4703042.344916723,2368375.8493563067,208409.73662223583,386883.5842146849,744069.4001107807,81054.81150030118,1003751.1224245329,499497.4292386476,42549.18200144763,330.0,64350.00000000001
67,2025.0,5.0,858.9012998306761,1661.9320077070568,1102.2643352017233,2378.5078514328097,1190.7547722049972,99.57453362273677,7291.934799999999,1959786.124898346,3637710.053424625,0.0,4703042.344916723,2368375.8493563067,208409.73662223583,408186.21263517183,789820.3577254409,523842.6166050931,1130367.4959984072,565897.0137074359,47322.028459371584,180.0,35100.0
68,2025.0,6.0,806.7117173996013,1529.202791816456,0.0,1978.4970291485304,1035.6235868780084,89.27272180214965,5439.2943,1959786.124898346,3637710.053424625,0.0,4703042.344916723,2368375.8493563067,208409.73662223583,383383.51645139477,726741.8224489184,0.0,940265.440507876,492172.1153835983,42426.17191432422,162.03937671920096,31597.67846024419
69,2025.0,7.0,813.2199,1495.4214000000002,0.0,1865.9861,950.5561,84.7695,5209.953,1959786.124898346,3637710.053424625,0.0,4703042.344916723,2368375.8493563067,208409.73662223583,386476.4799936767,710687.4767565527,0.0,886795.4899346768,451744.44890553877,40286.050514533614,0.0,0.0
70,2025.0,8.0,808.9729,1463.7983,0.0,1843.0771000000002,937.8150999999999,85.57860000000001,5139.242000000001,1959786.124898346,3637710.053424625,0.0,4703042.344916723,2368375.8493563067,208409.73662223583,384458.12602750695,695658.8425894742,0.0,875908.1645259218,445689.38700702955,40670.56904385501,0.0,0.0
71,2025.0,9.0,775.713,1391.661,0.0,1796.334,901.884,81.609,4947.201000000001,1959786.124898346,3637710.053424625,0.0,4703042.344916723,2368375.8493563067,208409.73662223583,368651.61529536464,661376.1476133087,0.0,853693.8670745284,428613.40909465833,38784.04728635386,0.0,0.0
72,2026.0,10.0,816.7632,1502.9978,0.0,2016.8104000000003,1003.1103999999999,86.3567,5426.038500000001,2245860.7681028186,4180159.5208087764,315997.69587712263,5457538.060036947,2738745.3522172943,239746.3427794768,391590.40278544114,720599.9411918068,0.0,966943.1689354599,480933.03612878855,41403.009998762805,0.0,0.0
73,2026.0,11.0,785.4932848319071,1471.4252467160238,3.246367569381989,1980.7275151785507,971.6941809847291,83.58090471940767,5296.167499999999,2245860.7681028186,4180159.5208087764,315997.69587712263,5457538.060036947,2738745.3522172943,239746.3427794768,376598.2989838251,705462.7400330902,1556.4442473459708,949643.5263941552,465870.7881502,40072.177767368106,0.0,0.0
74,2026.0,12.0,791.2006,1464.5051,3.5122,1917.1272,939.4395000000001,81.32230000000001,5197.1069,2245860.7681028186,4180159.5208087764,315997.69587712263,5457538.060036947,2738745.3522172943,239746.3427794768,379334.624329405,702144.9325708268,1683.8954211735131,919150.8780499966,450406.5464721641,38989.3082994416,0.0,0.0
75,2026.0,1.0,778.4845514684407,1451.2345384069188,39.46219095303194,1852.5665006075824,931.3870050602492,81.94081350377697,5135.0756,2245860.7681028186,4180159.5208087764,315997.69587712263,5457538.060036947,2738745.3522172943,239746.3427794768,373238.0193815908,695782.4708935333,18919.82308959778,888197.7813884591,446545.84396146727,39285.849514903144,0.0,0.0
76,2026.0,2.0,722.5823407131273,1325.5383732293867,0.0,1694.2011021139656,859.5184464513723,75.65662816264204,4677.463500000002,2245860.7681028186,4180159.5208087764,315997.69587712263,5457538.060036947,2738745.3522172943,239746.3427794768,346436.16392792965,635518.4776694812,0.0,812270.7927785508,412089.05426616856,36272.94850649165,60.0,11700.000000000002
77,2026.0,3.0,817.4297,1563.4726,0.0,2023.68,1031.9434999999999,91.2175,5527.7433,2245860.7681028186,4180159.5208087764,315997.69587712263,5457538.060036947,2738745.3522172943,239746.3427794768,391909.9507320877,749594.0869740469,0.0,970236.7421901985,494756.8289276718,43733.48060500397,0.0,0.0
78,2026.0,4.0,800.6347193589805,1552.0277208927052,65.76703970668926,2112.2303308669725,1068.407731385802,90.38655778885001,5689.454099999999,2245860.7681028186,4180159.5208087764,315997.69587712263,5457538.060036947,2738745.3522172943,239746.3427794768,383857.7353115221,744106.9337582113,31531.466609598167,1012691.4704773958,512239.30494474486,43335.09219186826,150.0,29250.0
79,2026.0,5.0,845.0699264919792,1648.1239928971086,14.377821085372373,2379.644029438822,1210.8660463024758,100.55978378424241,6198.6416,2245860.7681028186,4180159.5208087764,315997.69587712263,5457538.060036947,2738745.3522172943,239746.3427794768,405161.8301324757,790179.5014992452,6893.328139659055,1140900.77022804,580539.7730833137,48212.561775663205,75.0,14625.0
80,2026.0,6.0,792.3449459028269,1513.9048186837645,0.0,1975.957668098755,1051.4327300202685,90.01118780054667,5423.628199999999,2245860.7681028186,4180159.5208087764,315997.69587712263,5457538.060036947,2738745.3522172943,239746.3427794768,379883.27156646695,725829.2216485703,0.0,947356.6624179106,504100.78006750665,43155.124136361745,46.689694915815835,9104.49050858409
81,2026.0,7.0,799.4654361062144,1481.7359504077258,0.0,1865.1337564873081,965.8747536075575,85.55175212138397,5197.7493,2245860.7681028186,4180159.5208087764,315997.69587712263,5457538.060036947,2738745.3522172943,239746.3427794768,383297.1320670065,710406.1221683712,0.0,894223.0489223656,463080.71152749314,41017.08435469787,0.0,0.0
82,2026.0,8.0,796.2164,1452.1082,0.0,1844.5,954.0808,86.4683,5133.3737,2245860.7681028186,4180159.5208087764,315997.69587712263,5457538.060036947,2738745.3522172943,239746.3427794768,381739.4084116105,696201.3407632003,0.0,884330.3639754413,457426.19741175394,41456.515701457116,0.0,0.0
83,2026.0,9.0,763.482,1380.546,0.0,1797.723,917.538,82.46100000000001,4941.750000000001,2245860.7681028186,4180159.5208087764,315997.69587712263,5457538.060036947,2738745.3522172943,239746.3427794768,366045.1693947942,661891.432184787,0.0,861903.5158129695,439906.05231840524,39535.24865480015,0.0,0.0
84,2027.0,10.0,803.8827,1490.9946,38.5627,2018.3787000000002,1020.4642,87.2557,5459.5386,2832915.406178577,5305142.023027998,37646.10568088634,6989155.709209513,3546755.2361392076,308494.0995142476,417022.1958378884,773468.3705401721,20004.786558334614,1047054.1504456094,529376.0164983699,45264.76762514237,0.0,0.0
85,2027.0,11.0,772.9277104681055,1459.339775519263,409.81846807224287,1981.8381651155921,988.299329897234,84.4288509275623,5696.652300000001,2832915.406178577,5305142.023027998,37646.10568088634,6989155.709209513,3546755.2361392076,308494.0995142476,400963.9852224223,757047.1135410852,212597.43175267518,1028098.3822787027,512690.1682283474,43798.311377868646,195.0,38025.0
86,2027.0,12.0,778.7262000000001,1452.8088,22.1064,1918.6079,955.7393000000001,82.1748,5210.1633999999995,2832915.406178577,5305142.023027998,37646.10568088634,6989155.709209513,3546755.2361392076,308494.0995142476,403972.00969805004,753659.1046288315,11467.916239608958,995297.0494450493,495799.3268602078,42628.999900780684,90.0,17550.0
87,2027.0,1.0,765.8817524466776,1431.4839814152724,200.69416119463057,1834.5787050409178,918.7309973602534,80.77990254224838,5232.1495,2832915.406178577,5305142.023027998,37646.10568088634,6989155.709209513,3546755.2361392076,308494.0995142476,397308.82398325467,742596.641570418,104112.10465560207,951706.0636005643,476600.899488826,41905.38288451666,240.0,46800.00000000001
88,2027.0,2.0,717.6092000000001,1320.004,0.0,1694.3444000000002,856.2987999999999,75.32000000000001,4663.5764,2832915.406178577,5305142.023027998,37646.10568088634,6989155.709209513,3546755.2361392076,308494.0995142476,372266.9542925485,684765.285525856,0.0,878958.1144035436,444213.57229027164,39073.00379832748,45.0,8775.0
89,2027.0,3.0,807.9668312239121,1549.520457806691,47.74774814366322,2013.9301779798902,1023.0631123973518,90.38337244849201,5532.6117,2832915.406178577,5305142.023027998,37646.10568088634,6989155.709209513,3546755.2361392076,308494.0995142476,419140.87978404853,803829.2450008892,24769.62220630559,1044746.4351271187,530724.2283142653,46887.27900936771,90.0,17550.0
90,2027.0,4.0,791.4304124662489,1538.3187107826534,198.0210304328671,2102.3693066065985,1059.377645227994,89.57019448363758,5779.0873,2832915.406178577,5305142.023027998,37646.10568088634,6989155.709209513,3546755.2361392076,308494.0995142476,410562.447057961,798018.226625715,102725.39132039482,1090625.1181960534,549562.7556539648,46465.434801860094,330.0,64350.00000000001
