,Fiscal Year,Annual Estimate,Gross Revenues,Water Sales Revenue,Fixed Operating Expenses,Variable Operating Expenses,Net Revenues,Debt Service,Acquisition Credits,Unencumbered Carryover Funds,R&R Fund Deposit,Rate Stabilization Fund Deposit,Other Funds Deposit,Uniform Rate,Variable Uniform Rate,TBC Rate,Rate Stabilization Fund Transfers In,R&R Fund Transfers In,Other Funds Transfers In,Interest Income,CIP Fund Transfer In,CIP Fund Deposit,Energy Savings Fund Transfer In,Energy Savings Fund Deposit,Debt Service Deferred
0,2020.0,168872283.0,177428927.0,169766978.0,61849872.0,26657538.0,88921517.0,70133315.0,10231558.0,4168060.0,4500000.0,0.0,1712872.0,2.559,0.4028,0.195,1600000.0,6607280.0,0.0,1893889.0,0.0,2343772.0,0.0,0.0,0.0
1,2021.0,178053678.0,182829643.0,175384352.0,71789709.0,25938571.0,85101363.0,70093840.0,10231558.0,4233325.0,3000000.0,0.0,0.0,2.559,0.3848,0.195,0.0,0.0,0.0,3211966.0,0.0,1775965.0,0.0,0.0,0.0
2,2022.0,185115929.0,269577014.6186869,175153964.2397078,74158769.397,26794543.843,168623701.3786869,71153640.0,10231558.0,88222809.86019377,4500000.0,0.0,0.0,2.5634,0.4174,0.195,0.0,4871096.563856434,0.0,1329143.9549288999,0.0,899276.8934374903,0.0,1534681.3991489606,0.0
3,2023.0,179920663.57692,273991961.1915789,171468124.2745099,76606008.787101,27678763.789818995,169707188.61465892,62604333.0,10231558.0,92253153.11755735,3600000.0,0.0,0.0,2.8586178790957,0.4618351281738554,0.195,2800000.0,8597599.968259651,0.0,1673083.83125201,0.0,273841.9950336708,0.0,517802.9088618759,0.0
4,2024.0,187261880.07195836,279156135.95708966,178987280.09102684,79134007.07707533,28592162.99488302,171429965.8851313,63104152.0,10231558.0,89526602.86535656,2700000.0,0.0,0.0,2.8854635337887973,0.4647130738164141,0.195,6200000.0,9729444.850493317,0.0,912808.150212901,0.0,2189385.7377356575,0.0,295473.8818749407,0.0
5,2025.0,184963593.68433297,278305376.73973393,176718586.8543985,81745429.31061882,29535704.373714156,167024243.05540097,62550902.0,10231558.0,91197014.64070892,2700000.0,0.0,0.0,2.832178785986212,0.47669983024590684,0.195,900000.0,9485462.481218962,0.0,904312.7634076145,0.0,686478.0150434201,0.0,1127249.8242203337,0.0
6,2026.0,214656660.09591597,306944188.8455205,205853125.03871536,85064687.87786923,30620087.21804672,191259413.74960452,86840327.0,10231558.0,92904731.10498151,3800000.0,0.0,0.0,3.242763381116136,0.4782509906706857,0.195,1900000.0,7038276.6650369335,0.0,1148056.0367867015,0.0,2194676.690531855,0.0,1311007.233599355,0.0
7,2027.0,264180006.98484293,370401612.3539501,255037373.6439866,88493481.97783892,31740254.69624226,250167875.67986888,126114712.31076175,10231558.0,106367416.74163185,4600000.0,0.0,0.0,4.07673525158306,0.5005902888711593,0.195,7600000.0,5691941.812449228,0.0,3304880.155882388,0.0,1361774.43892828,0.0,488669.66341784934,24213920.68923825
8,2028.0,296694636.7957698,436255289.3806466,288665564.9673617,92035426.2831076,32897387.701218255,311322475.39632076,154130264.81144392,10231558.0,128991568.94866852,3200000.0,0.0,0.0,4.473060612768324,0.5232968528564815,0.195,7400000.0,15492851.640669543,0.0,3105303.8239468527,0.0,1634864.19470673,0.0,1005008.1776554849,44811770.877794325
9,2029.0,255822896.72360292,402218279.6444597,246906792.01534387,95694254.75045013,34092706.09535845,272431318.79865116,105404377.87779433,10231558.0,145256247.53565454,2800000.0,0.0,0.0,3.9105547357867403,0.5352938723765223,0.195,10400000.0,6760839.11945376,0.0,3294400.9740075557,0.0,491830.4095118645,0.0,785076.9108456075,0.0
10,2030.0,208078408.55372027,335593552.4785155,200249079.92538425,99473824.55721498,35327469.99650528,200792257.92479524,56145556.0,10231558.0,122793672.78461519,4700000.0,0.0,0.0,3.228986121944263,0.5794420088822517,0.195,6900000.0,11213306.27685303,0.0,1337493.4916630345,0.0,1727085.9691363652,0.0,1136775.4714205777,0.0
11,2031.0,164011263.27399302,275851428.976978,165465083.0282389,103378120.16760306,36602981.106389955,135870327.702985,22730162.0,0.0,101585500.70234267,3300000.0,0.0,0.0,2.5211056095934006,0.578996716747102,0.195,1300000.0,4632153.987147722,0.0,4168691.2592487,0.0,558342.2580038308,0.0,1934974.4607024484,0.0
