,Fiscal Year,Debt Covenant Ratio,Rate Covenant Ratio,Partial Debt Covenant Failure,Partial Rate Covenant Failure,Reserve Fund Balance Initial Failure,R&R Fund Balance Initial Failure,Cap on Rate Stabilization Fund Transfers In,Rate Stabilization Funds Transferred In,Required R&R Fund Deposit,Required Reserve Fund Deposit,Necessary Use of Other Funds (Rate Stabilization Supplement),Final Net Revenues,Fixed Sales Revenue,Variable Sales Revenue,Reserve Fund Balancing Failure,Remaining Unallocated Deficit
0,2021.0,1.336049054947373,1.9042747732030019,0.0,0.0,0.0,0.0,4233325.0,889914.8681637769,3000000.0,0.0,0.0,104163377.2689275,152115106.99999997,24227882.802702263,0.0,0.0
1,2022.0,2.1206441810854004,2.8080985844556245,0.0,0.0,0.0,0.0,0.0,0.0,3400000.0,0.0,0.0,168659732.23166984,158321385.157,25882805.03648,0.0,0.0
2,2023.0,2.222085373748737,3.037669118000995,0.0,0.0,0.0,0.0,8253296.013743702,8253296.013743702,4000000.0,0.0,0.0,157998189.70259434,149441899.78710103,29316135.78524073,0.0,0.0
3,2024.0,2.1680470487950885,3.0365479881144406,0.0,0.0,0.0,0.0,8267680.716782561,8267680.716782561,3300000.0,0.0,0.0,159085429.30510297,152469717.07707536,29999121.320162818,0.0,0.0
4,2025.0,2.1940746745022475,3.090957998262986,0.0,0.0,0.0,0.0,8395444.412852934,1950000.0,4500000.0,0.0,0.0,160038327.49347576,154527889.31061885,30812604.719359264,0.0,0.0
5,2026.0,2.026857426143661,2.6630479805527245,0.0,0.0,0.0,0.0,8331318.569755872,8331318.569755872,4000000.0,0.0,0.0,197076537.79031792,182136572.87786925,30072160.318394147,0.0,0.0
6,2027.0,1.8803153846211065,2.311426734407988,0.0,0.0,0.0,0.0,9280128.177766863,9280128.177766863,2600000.0,0.0,0.0,266489686.74304366,229416546.95005167,33468940.324762788,0.0,0.0
7,2028.0,1.7910993178542045,2.17681774420148,0.0,0.0,1.0,0.0,11474266.540484771,4650000.0,3300000.0,2077832.4752885178,0.0,307331206.3335425,260703570.78757763,33742291.23168914,0.0,0.0
8,2029.0,1.974869445590226,2.688433691605664,0.0,0.0,1.0,0.0,13134814.334103307,2400000.0,4700000.0,4667644.090445347,0.0,218950040.6112382,202447074.27376732,33881374.970928855,0.0,0.0
9,2030.0,2.360750459822996,3.6834670910085587,0.0,0.0,0.0,0.0,11531273.762885505,10200000.0,3100000.0,0.0,0.0,160513508.9391229,165850938.55721498,35756804.68145427,0.0,0.0
10,2031.0,3.1319085458754845,7.132818629507732,0.0,0.0,0.0,0.0,9698847.628643971,3150000.0,3600000.0,0.0,0.0,114529574.09988129,126108282.16760306,38060606.27997219,0.0,0.0
11,2032.0,2.3813356182440963,3.758033621532988,0.0,0.0,0.0,0.0,8355284.238649572,7500000.0,4500000.0,0.0,0.0,166806716.0155301,164802328.3609651,39310886.38917278,0.0,0.0
12,2033.0,2.3761632540315314,3.5413738852077477,0.0,0.0,0.0,0.0,9182344.874641767,1350000.0,5000000.0,0.0,0.0,184723010.14717922,177911216.25955847,39704281.672297314,0.0,0.0
13,2034.0,2.1799609571327614,3.0187160241575652,0.0,0.0,0.0,0.0,9847115.091014005,2250000.0,2500000.0,0.0,0.0,213008210.90575096,203674707.77780554,40618627.3801204,0.0,0.0
14,2035.0,2.163398787593062,3.0389582820707046,0.0,0.0,0.0,0.0,10940235.381726857,10940235.381726857,3800000.0,0.0,0.0,220503135.3840207,210284079.9411546,43547209.87401819,0.0,0.0
15,2036.0,1.9203827530610573,2.4931311738527167,0.0,0.0,0.0,0.0,11908005.680348003,8700000.0,5000000.0,0.0,0.0,317494410.38947463,274135963.49689436,43242929.018070854,0.0,0.0
16,2037.0,1.8888830888352406,2.415162460303577,0.0,0.0,0.0,0.0,14052743.805144314,5400000.0,4800000.0,0.0,0.0,350636572.24232876,298555469.8549733,45596040.63215097,0.0,0.0
17,2038.0,2.31463068402133,3.5422435017362974,0.0,0.0,0.0,0.0,15733758.2233176,11550000.0,3500000.0,0.0,0.0,220299867.3420543,213626045.19186905,47847125.07868439,0.0,0.0
18,2039.0,2.389890335760172,3.6522203304934164,0.0,0.0,0.0,0.0,13599710.891557965,10500000.0,2900000.0,0.0,0.0,217714120.7064895,216401610.72288227,50185480.22401859,0.0,0.0
