,Fiscal Year,Uniform Rate (Full),Uniform Rate (Variable Portion),TBC Sales Rate,Interest Income,Gross Revenues,Debt Service,Acquisition Credits,Fixed Operational Expenses,Variable Operational Expenses,Utility Reserve Fund Balance (Total),R&R Fund (Total),R&R Fund (Deposit),R&R Fund (Transfer In),Rate Stabilization Fund (Deposit),Rate Stabilization Fund (Total),Rate Stabilization Fund (Transfer In),Unencumbered Funds,CIP Fund (Total),CIP Fund (Deposit),CIP Fund (Transfer In),Misc. Income,Insurance-Litigation-Arbitrage Income,Uniform Sales Revenues,Energy Savings Fund (Total),Energy Savings Fund (Deposit),Energy Savings Fund (Transfer In)
0,2019.0,2.559,0.3988,0.157,3804846.0,183438752.0,70122276.0,10231557.0,49732982.13999998,19832479.01,29652353.0,33914245.0,5509008.0,0.0,17086535.0,41581818.45,7039535.0,4772886.0,27141633.0,5356993.0,653919.0,460656.0,6476.0,166187166.0,553050.0,270869.0,0.0
1,2020.0,2.559,0.4028,0.195,3738379.0,195303127.0,70354915.0,10231558.0,62503746.0,22008411.0,29314554.0,32687852.0,4988288.0,2593877.0,17374383.0,35700886.0,11468475.0,4168060.0,25046262.0,7427045.0,1752408.0,492126.0,19851.0,170303928.0,950977.0,338228.0,0.0
2,2021.0,2.559,0.3848,0.195,4817949.0,191438127.62492892,70093840.0,10231558.0,50252796.3,23344713.900000002,31146703.531195242,36280293.68192296,3000000.0,0.0,0.0,60693219.23551049,1026482.5098527463,29605090.185174093,26003329.550094392,4074631.2358620185,3571507.5418877234,1309238.7651875478,34005.08761334008,176445619.72038758,1803710.7162103613,1026482.5098527463,190984.50595991674
3,2022.0,2.5634,0.4174,0.195,2963213.4982866105,281529163.14322317,71153640.0,10231558.0,51911138.5779,24115089.458699998,32244862.210510843,38487976.57554366,3200000.0,1339539.4143474728,23103031.45381187,88407461.34113793,0.0,92253153.11755736,28401446.28379105,4605726.20002229,2456475.5912914113,1546757.39081009,494061.153179075,184506306.23511472,2776799.5522166844,1144627.846345883,188801.51111423085
4,2023.0,2.877683735049751,0.4477290596383612,0.195,2498475.106429723,286246679.9947763,62604333.0,10231558.0,53624206.1509707,24910887.410837095,33144372.995745614,40990066.74253793,3200000.0,966380.8875545167,35058299.09573589,114904926.29824732,6000000.0,89075636.92681907,32094352.36551366,6332602.347548911,2837809.2068782677,2100005.0966345407,1439582.7260837965,178151273.85363814,4005326.0486131394,1277422.5491645732,68265.48629993746
5,2024.0,2.8315330575787963,0.4525979237912079,0.195,3737505.857352123,287316027.2524106,63104152.0,10231558.0,55393804.95395273,25732946.695394717,34467774.12698538,43813466.17548288,3900000.0,1465267.8914174568,30656569.091975912,144332639.27548632,4050000.0,90807253.67027706,32746529.193561014,5812853.311492255,5464994.750097134,1698337.9715321595,209776.5146385299,181614507.34055412,5720194.031791387,1680712.147431785,3822.6181138717766
6,2025.0,2.8934271371794686,0.4752422807086702,0.195,4390011.274340633,298943969.5238587,62550902.0,10231558.0,57221800.51743317,26582133.936342742,35993806.20839537,44704350.28053549,3200000.0,2742231.1897562263,37040983.61364831,177500362.89233866,7350000.0,92857202.34498942,37175889.80112729,8313333.057821455,4207686.227860205,2119729.905114246,1612652.566531557,185714404.68997884,6722796.707737076,981602.5310313794,35546.47740769987
7,2026.0,3.300169011310583,0.4794417804149858,0.195,2559459.7094045873,323790657.4479155,86840327.0,10231558.0,59545281.514508456,27558078.49624205,36869287.527534574,46027110.01535761,3400000.0,2306299.064767781,21869489.82679686,205322623.66519105,8504942.876073074,106405429.28730099,44111350.10641478,8161577.388859445,1416601.111146345,2853396.6076653968,481897.15926695516,212810858.57460198,6536159.306175468,161922.7552717537,383006.82106397196
8,2027.0,4.0320073756930395,0.5187600079438062,0.195,5906215.589609319,386320359.57328874,129516262.97916621,10231558.0,61945437.38448724,28566229.226618037,38837376.003720544,46418136.21132771,4300000.0,4375134.030935402,11779489.926344037,242112220.98283035,1950000.0,131286039.59949091,51758815.32452548,8777722.852276575,1577015.1422486696,2541991.894367124,992494.4298454121,262572079.19898182,6519976.7997655645,6534.669256363923,88915.0643505788
9,2028.0,4.430814965416099,0.5106045785097211,0.195,3120977.8491591522,440576172.7563188,154528143.8293155,10231558.0,64424798.398175314,29607648.93109643,39851798.80075292,47496636.12363985,3400000.0,2526784.8716228935,23891148.51032558,274534241.07599837,6300000.0,145046166.8778612,57076831.18343045,8734614.471666051,3645502.6164086014,1890321.364073034,1714212.699841848,290092333.7557224,7260905.216023221,912097.6207805969,200003.8829018336
