,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
0,1.3400244126122678,2.1425600325055023,2.24625382692097,2.1973976973735727,2.24167336073263,2.02509427949779,1.8484487233025406,1.8328409421762466,2.0039850766976213,2.3093400165972637,3.3563292287347495,2.4262742638222266,2.3291300326521642,2.143604486133125,2.156862971689146,1.9360402699754966,1.8848400783115034,2.249710318902505,2.4090000140557786
1,1.3415279217629266,2.1194572809205807,2.2219021027150188,2.152124288372546,2.1880289566871367,2.011173931981386,1.8944103249117699,1.8134166135077636,2.0057990625292708,2.351966343383917,3.3545387701641487,2.4412324791223083,2.3028090279003024,2.1353863595437375,2.1757387706086897,1.9177148210977077,1.858009548058433,2.244356379751649,2.3455126635779453
2,1.3437926745547837,2.137344497422044,2.1984859722239865,2.190900011753933,2.1894407787416488,2.068350419321544,1.8670922391539961,1.8200395177574689,1.9901139416346787,2.4270284546279255,3.1653889935036337,2.3861133335517875,2.3600471872661473,2.1974849935930703,2.171649634296006,1.9341671668431342,1.8643973213906757,2.207065413620886,2.3709204727124953
3,1.3398447567941705,2.1335607561456755,2.2075767221956144,2.122578256036197,2.19119801432109,2.030666323734445,1.9001971947033922,1.839360468083151,1.9564214787356495,2.325007246233939,3.194658073909343,2.434170879306854,2.3106272238516645,2.113197437326134,2.1818071043166114,1.94901386771306,1.891698930036869,2.2475749947989723,2.402548717786416
4,1.333726694981515,2.1074830772914046,2.233803326190567,2.1767497596199936,2.2216238047259225,2.038122072125531,1.9206031385343107,1.8202099172509898,1.9989451955965314,2.360247093758184,3.2820912592199187,2.427460456518193,2.335841204891506,2.176519479761179,2.125120394298679,1.9151045480607143,1.8901340965068543,2.2594881552069306,2.3263623109935723
5,1.328185959884416,2.095513431658309,2.1888017341860624,2.202587131718987,2.210085488279606,2.023703660048492,1.8775115873361816,1.8240840331697017,2.010101107666903,2.3196120195041106,3.2096285235515927,2.4589037687954325,2.369726672106927,2.1558450425498505,2.2043809884931913,1.9498727851158049,1.889352302701341,2.247342580284901,2.400246188302344
6,1.3677742577621383,2.10029870806528,2.1547703354539016,2.1611290298360077,2.207489335723122,2.06654437833611,1.9217788778213047,1.818934988787391,1.9928022787274913,2.3192089009039893,3.0866845434122823,2.4463119128891804,2.365070355341728,2.149471081697236,2.1567820734735,1.898467048292024,1.8974981864874843,2.2650303248170185,2.350220523609868
7,1.336049054947373,2.1206441810854004,2.222085373748737,2.1680470487950885,2.1940746745022475,2.026857426143661,1.8803153846211065,1.7910993178542045,1.974869445590226,2.360750459822996,3.1319085458754845,2.3813356182440963,2.3761632540315314,2.1799609571327614,2.163398787593062,1.9203827530610573,1.8888830888352406,2.31463068402133,2.389890335760172
8,1.3331899906450562,2.0952698691471396,2.1587536570532837,2.1747065553921483,2.170313272200927,2.0275231176485313,1.8832037900271457,1.830009285660414,1.9875577978342054,2.398309154078048,3.0388922204532647,2.4341509714575635,2.340785804492064,2.1577920568185283,2.1472126031031746,1.9032177915221653,1.8780872415386678,2.2554682619386517,2.4773380466025983
9,1.3481872870729164,2.132392124585276,2.1988394499793427,2.1749162189807594,2.1726758659316587,2.0412546960543865,1.8783786307738792,1.8375354791358112,1.9786974866496905,2.3388504649101542,3.209607963180103,2.4969270201688345,2.329283637354631,2.208034998744461,2.1756868926815387,1.9142581806496393,1.8875692308559453,2.2617515062200204,2.3662408406398785
