,Fiscal Year,Uniform Rate (Full),Uniform Rate (Variable Portion),TBC Sales Rate,Interest Income,Gross Revenues,Debt Service,Acquisition Credits,Fixed Operational Expenses,Variable Operational Expenses,Utility Reserve Fund Balance (Total),R&R Fund (Total),R&R Fund (Deposit),R&R Fund (Transfer In),Rate Stabilization Fund (Deposit),Rate Stabilization Fund (Total),Rate Stabilization Fund (Transfer In),Unencumbered Funds,CIP Fund (Total),CIP Fund (Deposit),CIP Fund (Transfer In),Misc. Income,Insurance-Litigation-Arbitrage Income,Uniform Sales Revenues,Energy Savings Fund (Total),Energy Savings Fund (Deposit),Energy Savings Fund (Transfer In)
0,2019.0,2.559,0.3988,0.157,3804846.0,183438752.0,70122276.0,10231557.0,49732982.13999998,19832479.01,29652353.0,33914245.0,5509008.0,0.0,17086535.0,41581818.45,7039535.0,4772886.0,27141633.0,5356993.0,653919.0,460656.0,6476.0,166187166.0,553050.0,270869.0,0.0
1,2020.0,2.559,0.4028,0.195,3738379.0,195303127.0,70354915.0,10231558.0,62503746.0,22008411.0,29314554.0,32687852.0,4988288.0,2593877.0,17374383.0,35700886.0,11468475.0,4168060.0,25046262.0,7427045.0,1752408.0,492126.0,19851.0,170303928.0,950977.0,338228.0,0.0
2,2021.0,2.559,0.3848,0.195,4817949.0,198343544.81570306,70093840.0,10231558.0,50252796.3,23344713.900000002,31146703.531195242,33505444.68192296,3000000.0,2774849.0,34333285.114778616,69360163.79759616,1494235.669148019,4406502.791776425,19583541.896120097,1775000.04,7691664.0,946486.0315568701,124924.44394119123,176260111.671057,1874061.3814655507,1694235.669148019,788387.0
3,2022.0,2.5634,0.4174,0.195,908536.927279637,218806797.83746964,71153640.0,10231558.0,51911138.5779,24115089.458699998,31483590.09944652,20372947.75801645,1400000.0,14631014.0,52150192.98650568,121498989.70608601,448013.9478613804,4639207.866502593,11129755.978837566,3000000.0,11511368.0,663228.2327950484,669819.2776534403,185568314.6601037,2085542.6888960826,633013.9478613804,427043.0
4,2023.0,2.8185464246590652,0.44993803292257645,0.195,2435959.035051353,207130115.28682217,62604333.0,10231558.0,53624206.1509707,24910887.410837095,32358529.858795125,21441636.246151812,5000000.0,4071881.0,35209611.489804834,152720335.08507475,4639207.866502593,4451829.561940154,9844927.86434111,10912689.673269387,12274311.0,458030.7255898037,538335.3155696907,178073182.47760615,2284932.5391889648,185000.0,0.0
5,2024.0,2.8237080513636843,0.45359807447335176,0.195,1511963.468528051,208595419.38281092,63104152.0,10231558.0,55393804.95395273,25732946.695394717,32893745.210716438,20152634.08116315,5000000.0,6373146.0,36337926.0629934,185289128.82801932,4451829.561940154,4535203.387896725,9777143.791043539,8205672.282573332,8312091.0,1448190.15355602,638234.120977529,181408135.515869,2348055.3449113616,185000.0,130844.0
6,2025.0,2.8872701114978176,0.47221521156713137,0.195,4700735.042911783,214221850.5066259,62550902.0,10231558.0,57221800.51743317,26582133.936342742,34522920.52128772,20434354.973704413,4500000.0,4438822.0,40071000.83151695,222952373.0446429,4535203.387896724,4634915.212525305,10209518.205936458,8629815.008807722,8304438.0,1126253.0975501258,1184587.0893583444,185396608.5010122,2173476.5846946146,185000.0,385275.0
7,2026.0,3.181157277935988,0.47272500465631506,0.195,3274827.2634794638,231657441.40738022,80770527.0,10231558.0,59110119.93450846,27459344.35624205,35641027.32226344,20688758.034415763,4750000.0,4634046.0,38117731.219865784,258460719.40079355,4634915.212525306,5149874.43388279,11079315.720369011,6040625.8780686315,5240001.0,2062191.0969897842,1181568.2665487896,205994977.35531157,2215863.144073802,188091.58481251728,160431.0
8,2027.0,3.4009501470526895,0.49144838916160205,0.195,4871389.874665683,244533513.67865127,92662976.5629521,10231558.0,61060753.892347224,28365502.71999803,37266298.070037775,20872106.94601713,4000000.0,3996596.0,39177433.47183727,298054635.52641445,2256640.2506936328,5574979.780823038,11701332.321397884,3355178.875578027,2829527.0,1815013.100785484,615281.785702161,222999191.2329215,2340266.4642795767,436461.37511560554,331331.0
9,2028.0,3.5268458229598965,0.4942647046180956,0.195,3679774.82932703,257136231.30307132,97813405.47146052,10231558.0,63075758.770794675,29301564.309757967,38476096.8831358,20929647.62051568,5000000.0,5063582.0,41971609.80094814,336384111.5926283,5574979.780823038,5778188.531787705,12362652.365153566,3845463.1819352303,3252047.0,1467932.2510786364,1395394.3895113943,231127541.27150816,2472530.4730307134,467057.2363870465,348374.0
