,Fiscal Year,Debt Covenant Ratio,Rate Covenant Ratio,Partial Debt Covenant Failure,Partial Rate Covenant Failure,Reserve Fund Balance Initial Failure,R&R Fund Balance Initial Failure,Cap on Rate Stabilization Fund Transfers In,Rate Stabilization Funds Transferred In,Required R&R Fund Deposit,Required Reserve Fund Deposit,Necessary Use of Other Funds (Rate Stabilization Supplement),Final Net Revenues,Fixed Sales Revenue,Variable Sales Revenue,Reserve Fund Balancing Failure,Remaining Unallocated Deficit
0,2021.0,1.1806978536489294,2.3712864526072335,0.0,0.0,0.0,1.0,4233325.0,4233325.0,45573105.848864794,0.0,0.0,136898019.203219,152115106.99999997,24045299.753371693,0.0,0.0
1,2022.0,1.1201459997289525,1.5294486712631057,0.0,0.0,0.0,0.0,0.0,0.0,4900000.0,0.0,0.0,85414820.69570245,146681120.29792592,26878161.07698,0.0,0.0
2,2023.0,2.610364330762302,3.204940501367271,0.0,0.0,0.0,0.0,5666307.951538434,5666307.951538434,5000000.0,0.0,0.0,177193676.7976128,319718064.9133348,48599600.977590434,0.0,0.0
3,2024.0,3.2464347081123077,3.9771325957989143,0.0,0.0,0.0,1.0,11900691.835329084,11900691.835329084,6393018.610837787,0.0,0.0,227417532.3275222,531164925.49415827,72666391.46665168,0.0,0.0
4,2025.0,5.034732712671977,6.046527056524182,0.0,0.0,0.0,1.0,19823383.13163761,19823383.13163761,6893401.32688421,0.0,0.0,354493723.5138023,921801193.2584687,108821184.76547861,0.0,0.0
5,2026.0,6.431995177742214,7.446389699169235,0.0,0.0,0.0,1.0,33756501.92410211,33756501.92410211,8418678.952731192,0.0,0.0,622724548.1154097,1672584107.1234767,162119309.36578703,0.0,0.0
6,2027.0,6.947676690591519,7.961116744175715,0.0,0.0,0.0,1.0,61287099.92918167,61287099.92918167,15889876.564332843,0.0,0.0,1172622085.7298033,3083314049.8786664,245087606.42998132,0.0,0.0
7,2028.0,10.590949451541755,11.239236368741679,0.0,0.0,0.0,1.0,111821829.46954155,111821829.46954155,4507007.579950094,0.0,0.0,1939170267.5300207,5606097971.142463,346978754.36384016,0.0,0.0
8,2029.0,30.7008326780747,53.79002600480367,0.0,0.0,0.0,1.0,195030363.71494716,195030363.71494716,17943670.688498974,0.0,0.0,3234036492.919383,10125076995.876963,530304798.73571974,0.0,0.0
9,2030.0,35.01966390199579,108.17604353251042,0.0,0.0,0.0,1.0,354034973.81197035,354034973.81197035,60641897.2066679,0.0,0.0,6047535191.143896,18712482317.989304,755741549.3450439,0.0,0.0
10,2031.0,64.94562657127308,484.7962699366277,0.0,0.0,0.0,1.0,638749394.8415215,638749394.8415215,48156682.901002884,0.0,0.0,10992298394.880909,34601946166.4657,1150675581.2303517,0.0,0.0
11,2032.0,57.0546992879289,348.49285104791164,0.0,0.0,0.0,1.0,1168873659.1521137,1168873659.1521137,109959781.80957603,0.0,0.0,19970519692.455738,64183671987.01256,1715364367.6506898,0.0,0.0
12,2033.0,47.16124216635642,565.341635979092,0.0,0.0,0.0,1.0,2163203780.441071,2163203780.441071,414095756.230175,0.0,0.0,37465344947.70801,118985997796.2363,2533455250.48139,0.0,0.0
13,2034.0,45.11906864646269,784.8928717386453,0.0,0.0,0.0,1.0,3937532939.6804156,3937532939.6804156,803359510.0843735,0.0,0.0,68867831963.7309,220618729155.63022,3596268972.5494804,0.0,0.0
14,2035.0,55.83077487060173,1412.0285537112886,0.0,0.0,0.0,1.0,7274496251.578006,7274496251.578006,1175636629.0143585,0.0,0.0,126966468044.85887,409053326031.7751,5673465137.463881,0.0,0.0
15,2036.0,51.9822493007383,1578.4605381085858,0.0,0.0,0.0,1.0,13325609379.791317,13325609379.791317,2535660817.6983337,0.0,0.0,235449944836.72098,758550018384.2625,8138759845.662388,0.0,0.0
16,2037.0,56.10205897598342,2583.831819959203,0.0,0.0,0.0,1.0,25216999009.574814,25216999009.574814,4141150131.0408325,0.0,0.0,436271508512.4195,1406581914623.999,12813296878.182428,0.0,0.0
17,2038.0,56.03584046275369,10202.53450508284,0.0,0.0,0.0,1.0,46490324721.628555,46490324721.628555,7585468734.903076,0.0,0.0,806431496877.3368,2608194588907.5483,17991647677.211792,0.0,0.0
18,2039.0,47.88016948820938,19585.95909643317,0.0,0.0,0.0,1.0,84352565738.73807,84352565738.73807,18181514064.489746,0.0,0.0,1503415613570.1165,4836682541339.4375,26300824799.758278,0.0,0.0
