,Simulation ID,Debt Covenant Violation Frequency,Rate Covenant Violation Frequency,Peak Uniform Rate
0,0.0,1.0,1.0,4.413388248875223
1,1.0,1.0,1.0,4.418657857785028
2,2.0,1.0,1.0,4.448658885105292
