,Fiscal Year,Annual Estimate,Gross Revenues,Water Sales Revenue,Fixed Operating Expenses,Variable Operating Expenses,Net Revenues,Debt Service,Acquisition Credits,Unencumbered Carryover Funds,R&R Fund Deposit,Rate Stabilization Fund Deposit,Other Funds Deposit,Uniform Rate,Variable Uniform Rate,TBC Rate,Rate Stabilization Fund Transfers In,R&R Fund Transfers In,Other Funds Transfers In,Interest Income,CIP Fund Transfer In,CIP Fund Deposit,Energy Savings Fund Transfer In,Energy Savings Fund Deposit,Debt Service Deferred
0,2020.0,168872283.0,177428927.0,169766978.0,61849872.0,26657538.0,88921517.0,70133315.0,10231558.0,4168060.0,4500000.0,0.0,1712872.0,2.559,0.4028,0.195,1600000.0,6607280.0,0.0,1893889.0,0.0,2343772.0,0.0,0.0,0.0
1,2021.0,178053678.0,182829643.0,175384352.0,71789709.0,25938571.0,85101363.0,70093840.0,10231558.0,4233325.0,3000000.0,0.0,0.0,2.559,0.3848,0.195,0.0,0.0,0.0,3211966.0,0.0,1775965.0,0.0,0.0,0.0
2,2022.0,185115929.0,227736015.43444687,179666862.35922527,143468859.50602427,28583632.72728916,55683523.201133445,71153640.0,10231558.0,43853408.91242756,3100000.0,0.0,0.0,2.5634,0.4174,0.195,0.0,2728837.477679028,0.0,1486906.6851150407,0.0,1259690.2373550336,0.0,1721222.6306027235,0.0
3,2023.0,394251085.4594825,448180666.63583755,385192677.1108988,286716772.28778476,31498422.171697736,129965472.17635506,62604333.0,10231558.0,45724159.942646496,2800000.0,0.0,0.0,4.785877151438936,0.3966047133828038,0.195,3200000.0,14155806.984050184,0.0,3108022.598242089,0.0,1506796.8697524634,0.0,91587.44667961649,0.0
4,2024.0,683038145.959291,808139936.978251,674669246.5773547,572991991.3922056,34710444.56708544,200437501.01895994,63104152.0,10231558.0,95737020.55618136,3500000.0,0.0,0.0,8.405189826665259,0.45005299737673343,0.195,2000000.0,34785879.548816204,0.0,2947790.295898785,0.0,2160201.575232476,0.0,1155921.0552984276,0.0
5,2025.0,1258034026.3920228,1475533695.0818691,1249562645.6741347,1145101556.4239912,38250009.96803176,292182128.68984616,62550902.0,10231558.0,167949530.96437004,3700000.0,0.0,0.0,15.414326518912306,0.49023249156367704,0.195,1900000.0,55343153.90768011,0.0,2678364.5356844496,0.0,2532670.601381069,0.0,435393.4930602743,0.0
6,2026.0,2474758722.740509,2823982677.3460245,2465261590.258162,2288922248.048669,42664589.69184035,492395839.6055153,86840327.0,10231558.0,310980129.7847265,4300000.0,0.0,0.0,29.778749362295258,0.5222192281045239,0.195,46100000.0,41876027.68933189,0.0,5864929.613803708,0.0,7176136.9751734175,0.0,1049152.6440807162,0.0
7,2027.0,4826291643.2059,5618951392.844528,4817844667.806125,4574802110.116147,47529342.089753196,996619940.638628,150328633.0,10231558.0,602029263.2168694,3700000.0,0.0,0.0,58.46751898418625,0.5974067657226452,0.195,43400000.0,174649126.94306505,0.0,24428334.87846984,0.0,8138425.837998567,0.0,119141.4428601092,0.0
8,2028.0,9457391350.790247,10845472273.351448,9448093807.6502,9143041504.687439,52890173.10280862,1649540595.5612004,174728115.0,10231558.0,1188074842.4557333,4400000.0,0.0,0.0,111.98932950066546,0.6373562966083768,0.195,76500000.0,164104292.2376051,0.0,45199331.0079081,0.0,3336875.2558526983,0.0,1007429.8038328411,0.0
9,2029.0,18513206891.012886,21397164777.271545,18504508911.116283,18272485056.12507,58797669.887818,3065882051.258659,60592607.0,10231558.0,2331350507.372229,4300000.0,0.0,0.0,219.65983614859834,0.7158316114820037,0.195,111100000.0,470574620.641049,0.0,90730738.14198187,0.0,46898085.53129128,0.0,1320241.5518839208,0.0
10,2030.0,37263997210.266014,44155540332.46163,37257663641.02158,36517312518.08601,65307578.180003785,7572920236.195614,56145556.0,10231558.0,4575613292.837226,4900000.0,0.0,0.0,441.7597720981938,0.8204221491605221,0.195,615000000.0,2098855846.6353471,0.0,223407551.96747234,0.0,63838304.96846029,0.0,395298.4767682013,0.0
11,2031.0,73545281302.81921,84596037237.32143,73546904681.19353,72978869812.48497,72481328.33424985,11544686096.502207,22730162.0,0.0,9115266715.941647,3200000.0,0.0,0.0,887.293423892451,0.8940419283006039,0.195,471200000.0,1611064405.1685638,0.0,322801435.017682,0.0,140681687.58324564,0.0,1305510.7706391222,0.0
