,Fiscal Year,Month,Water Delivery - City of St. Petersburg,Water Delivery - Pinellas County,Water Delivery - City of Tampa (Uniform),Water Delivery - Hillsborough County,Water Delivery - Pasco County,Water Delivery - City of New Port Richey,Water Delivery - Uniform Sales Total,Fixed Water Sales - City of St. Petersburg,Fixed Water Sales - Pinellas County,Fixed Water Sales - City of Tampa (Uniform),Fixed Water Sales - Hillsborough County,Fixed Water Sales - Pasco County,Fixed Water Sales - City of New Port Richey,Variable Water Sales - City of St. Petersburg,Variable Water Sales - Pinellas County,Variable Water Sales - City of Tampa (Uniform),Variable Water Sales - Hillsborough County,Variable Water Sales - Pasco County,Variable Water Sales - City of New Port Richey,TBC Delivery - City of Tampa,TBC Sales - City of Tampa
122,2030.0,12.0,796.7341,1416.6659,0.0,2004.345,960.6652,103.1835,5281.5937,231598345.63678804,409102403.11711717,20056865.28918988,585915567.9227886,282806474.2040761,29893870.329148997,9293159.645179572,16524085.479185589,0.0,23378813.670730863,11205262.921680348,1203539.2212387875,0.0,0.0
123,2030.0,1.0,789.3344,1415.7235,30.0,1981.7432,945.0939000000001,101.6614,5263.5563999999995,231598345.63678804,409102403.11711717,20056865.28918988,585915567.9227886,282806474.2040761,29893870.329148997,9206849.051185371,16513093.262774095,349921.9995170122,23115184.769108072,11023638.240644373,1185785.3453899594,0.0,0.0
124,2030.0,2.0,744.4176063037913,1321.8252964434998,70.27056894009846,1853.3774293420447,883.7402252131627,95.31467375740299,4968.9457999999995,231598345.63678804,409102403.11711717,20056865.28918988,585915567.9227886,282806474.2040761,29893870.329148997,8682936.575783022,15417858.358122563,819640.5996905769,21617917.864502277,10308004.888673486,1111756.7074834048,45.0,8775.0
125,2030.0,3.0,846.4891,1483.5514999999998,5.0,2129.9811,1026.5185000000001,108.0381,5599.5783,231598345.63678804,409102403.11711717,20056865.28918988,585915567.9227886,282806474.2040761,29893870.329148997,9873505.281378537,17304243.575548757,58320.33325283537,24844241.51484817,11973380.202040138,1260163.5992006306,30.0,5850.000000000001
126,2030.0,4.0,833.028,1484.046,139.58280000000002,2192.325,1065.567,110.271,5824.819800000001,231598345.63678804,409102403.11711717,20056865.28918988,585915567.9227886,282806474.2040761,29893870.329148997,9716494.11378859,17310011.456507467,1628103.082472774,25571424.91970446,12428844.508644804,1286208.293624682,60.0,11700.000000000002
127,2030.0,5.0,864.2459102366395,1539.2590444109067,91.79144676829429,2277.9314067506816,1105.5181557666542,115.68533606682388,5994.4313,231598345.63678804,409102403.11711717,20056865.28918988,585915567.9227886,282806474.2040761,29893870.329148997,10080621.899480172,17954020.086496998,1070661.5530573642,26569943.753759965,12894837.452274246,1349361.4703766848,105.0,20475.0
128,2030.0,6.0,799.404,1424.037,5.0,2074.5255,988.1219999999998,104.337,5395.4255,231598345.63678804,409102403.11711717,20056865.28918988,585915567.9227886,282806474.2040761,29893870.329148997,9324301.53672992,16610062.480873585,58320.33325283537,24197403.700300988,11525520.866891637,1216993.722120217,135.0,26325.0
129,2030.0,7.0,804.698,1412.9211,0.0,2016.8383000000001,957.3265000000001,102.64720000000001,5294.431100000001,231598345.63678804,409102403.11711717,20056865.28918988,585915567.9227886,282806474.2040761,29893870.329148997,9386051.105578022,16480405.882392548,0.0,23524536.354616392,11166320.102354102,1197283.7822940887,0.0,0.0
130,2030.0,8.0,798.8545,1422.7357,30.0,1996.8649999999998,957.5528,102.54180000000001,5308.5498,231598345.63678804,409102403.11711717,20056865.28918988,585915567.9227886,282806474.2040761,29893870.329148997,9317892.132105434,16594884.030941201,349921.9995170122,23291566.452184618,11168959.680637125,1196054.3896691187,0.0,0.0
131,2030.0,9.0,773.25,1384.257,0.0,1933.7069999999997,926.7509999999999,99.51599999999999,5117.481,231598345.63678804,409102403.11711717,20056865.28918988,585915567.9227886,282806474.2040761,29893870.329148997,9019239.53755099,16146065.909514027,0.0,22554887.330668103,10809685.432479683,1160761.256797833,0.0,0.0
132,2031.0,10.0,807.0043999999999,1448.1123,0.0,2079.5699,996.4082000000001,104.6374,5435.7322,429543130.6963888,763339358.4168472,17648409.9719619,1091611949.6469295,525661479.2576275,55691185.88238669,14200294.743781777,25481424.24266304,0.0,36592744.12914824,17533101.585469753,1841231.4991380363,0.0,0.0
133,2031.0,11.0,800.1419999999999,1432.992,0.0,2059.686,973.8330000000001,103.69500000000001,5370.348,429543130.6963888,763339358.4168472,17648409.9719619,1091611949.6469295,525661479.2576275,55691185.88238669,14079541.86727983,25215362.847440906,0.0,36242860.98023867,17135861.503631506,1824648.742257727,0.0,0.0
