,Fiscal Year,Annual Estimate,Gross Revenues,Water Sales Revenue,Fixed Operating Expenses,Variable Operating Expenses,Net Revenues,Debt Service,Acquisition Credits,Unencumbered Carryover Funds,R&R Fund Deposit,Rate Stabilization Fund Deposit,Other Funds Deposit,Uniform Rate,Variable Uniform Rate,TBC Rate,Rate Stabilization Fund Transfers In,R&R Fund Transfers In,Other Funds Transfers In,Interest Income,CIP Fund Transfer In,CIP Fund Deposit,Energy Savings Fund Transfer In,Energy Savings Fund Deposit,Debt Service Deferred
0,2020.0,168872283.0,177428927.0,169766978.0,61849872.0,26657538.0,88921517.0,70133315.0,10231558.0,4168060.0,4500000.0,0.0,1712872.0,2.559,0.4028,0.195,1600000.0,6607280.0,0.0,1893889.0,0.0,2343772.0,0.0,0.0,0.0
1,2021.0,178053678.0,182829643.0,175384352.0,71789709.0,25938571.0,85101363.0,70093840.0,10231558.0,4233325.0,3000000.0,0.0,0.0,2.559,0.3848,0.195,0.0,0.0,0.0,3211966.0,0.0,1775965.0,0.0,0.0,0.0
2,2022.0,185115929.0,184193997.87440097,174953047.20470172,74158769.397,26794543.843,83240684.63440098,71153640.0,10231558.0,4406502.791776425,3000000.0,0.0,0.0,2.5634,0.4174,0.195,0.0,2774849.0,0.0,2059598.8779228213,7691664.0,1775000.04,788387.0,200000.0,0.0
3,2023.0,178320663.57692,188518154.36960486,170288981.26868227,76606008.787101,27678763.789818995,84233381.79268485,62604333.0,10231558.0,4639207.866502593,1400000.0,0.0,0.0,2.7282773767542143,0.45117142542572025,0.195,1200000.0,10944493.880376227,0.0,2645471.3540437757,11511368.0,3000000.0,427043.0,185000.0,0.0
4,2024.0,185261880.07195836,187471179.68814924,176062873.45914352,79134007.07707533,28592162.99488302,79745009.6161909,63104152.0,10231558.0,4453788.291609807,5000000.0,0.0,0.0,2.873338790982502,0.4534189054146666,0.195,4200000.0,4071881.0,0.0,2882636.9373959345,12274311.0,4000000.0,0.0,185000.0,0.0
5,2025.0,190463593.68433297,194060135.5331734,181644551.29312378,81745429.31061882,29535704.373714156,82779001.84884045,62550902.0,10231558.0,4534917.624492771,5000000.0,0.0,0.0,2.9413204492726908,0.4719091748152217,0.195,6400000.0,6373146.0,0.0,1507520.6155568582,8312091.0,4250000.0,130844.0,185000.0,0.0
6,2026.0,206455496.09591594,208966208.28101254,197284329.08319208,84443028.47786923,30510382.61804672,94012797.18509659,80770527.0,10231558.0,4634418.190266529,4500000.0,0.0,0.0,3.1311093926000613,0.4728884188135391,0.195,500000.0,4438822.0,0.0,2608639.007553932,8304438.0,5500000.0,385275.0,185000.0,0.0
7,2027.0,225152663.14224327,229171438.12748653,215973417.80077448,87229648.4176389,31517225.244442258,110424564.46540537,91474231.48016211,10231558.0,5150138.0455189,4750000.0,0.0,0.0,3.4377666412583014,0.4913365908715012,0.195,4700000.0,4634046.0,0.0,3413836.2811931293,5240001.0,5250000.0,160431.0,185000.0,52784601.519837886
8,2028.0,234398112.95884198,236264617.3854476,225121301.0221485,90108226.81542097,32557293.67750885,113599096.89251779,98201034.46591216,10231558.0,5545076.6469305195,4000000.0,0.0,0.0,3.4983043990682496,0.4943340877140663,0.195,3300000.0,3996596.0,0.0,1601643.716368597,2829527.0,3000000.0,331331.0,185000.0,123241882.05392572
9,2029.0,245137126.8040446,251407150.05566186,236004921.39738795,93081798.30032985,33631684.36886664,124693667.38646536,102692086.13484813,10231558.0,5787993.534072184,5000000.0,0.0,0.0,3.6658635329131357,0.5135474855378394,0.195,5500000.0,5063582.0,0.0,4550653.124201701,3252047.0,3000000.0,348374.0,185000.0,75072602.91907759
10,2030.0,252047630.43303567,258163707.02533072,242885872.1093827,96153497.64424072,34741529.95303924,127268679.42805076,106921044.83575569,10231558.0,6003283.837045408,5000000.0,0.0,0.0,3.7659759899065595,0.5292486848047364,0.195,4000000.0,4837252.0,0.0,4437299.07890264,2715748.0,3000000.0,143262.0,185000.0,18227314.0833219
11,2031.0,175802239.59131208,191279738.3607155,177275032.8378712,99326563.06650066,35888000.441489525,56065174.85272532,34887676.0833219,0.0,6194101.448713451,5000000.0,0.0,0.0,2.673222169276756,0.5621722768287924,0.195,5700000.0,5148861.0,0.0,2661743.074130855,2121309.0,3000000.0,269483.0,185000.0,0.0
