,Fiscal Year,Uniform Rate (Full),Uniform Rate (Variable Portion),TBC Sales Rate,Interest Income,Gross Revenues,Debt Service,Acquisition Credits,Fixed Operational Expenses,Variable Operational Expenses,Utility Reserve Fund Balance (Total),R&R Fund (Total),R&R Fund (Deposit),R&R Fund (Transfer In),Rate Stabilization Fund (Deposit),Rate Stabilization Fund (Total),Rate Stabilization Fund (Transfer In),Unencumbered Funds,CIP Fund (Total),CIP Fund (Deposit),CIP Fund (Transfer In),Misc. Income,Insurance-Litigation-Arbitrage Income,Uniform Sales Revenues,Energy Savings Fund (Total),Energy Savings Fund (Deposit),Energy Savings Fund (Transfer In)
0,2019.0,2.559,0.3988,0.157,3804846.0,183438752.0,70122276.0,10231557.0,49732982.13999998,19832479.01,29652353.0,33914245.0,5509008.0,0.0,17086535.0,41581818.45,7039535.0,4772886.0,27141633.0,5356993.0,653919.0,460656.0,6476.0,166187166.0,553050.0,270869.0,0.0
1,2020.0,2.559,0.4028,0.195,3738379.0,195303127.0,70354915.0,10231558.0,62503746.0,22008411.0,29314554.0,32687852.0,4988288.0,2593877.0,17374383.0,35700886.0,11468475.0,4168060.0,25046262.0,7427045.0,1752408.0,492126.0,19851.0,170303928.0,950977.0,338228.0,0.0
2,2021.0,2.559,0.3848,0.195,941379.468576721,189646807.8247354,70093840.0,10231558.0,736411.4724843098,698887.2896291843,29474411.631914947,77402883.14621799,44559961.753176406,0.0,4780555.671630345,49784345.53669508,4233325.0,17600190.80250967,25786118.27846179,1941781.8783849818,1320743.705386357,1747299.524726991,910623.4549883449,176260111.671057,39959109.340115294,39084480.014855884,80859.05793538122
3,2022.0,2.5634,0.4174,0.195,244257.91913903513,207912728.31575438,70312697.31929314,10231558.0,1353499.8271886394,877774.9283353164,29503875.762413044,78543143.63100664,4200000.0,3122948.6268343427,97127934.94675656,143797586.41231215,3507325.0915055797,17952166.69316742,26501508.96640511,1576501.0144146278,882167.9093717856,1609758.2530416173,1161045.472478217,179785034.24087414,44272336.52517608,4287578.627287861,6983.04068917382
4,2023.0,4.252123450608326,0.493913020006283,0.195,310997.9761457243,375487202.3151772,63445275.68070686,10231558.0,2487687.727106545,1102450.7617285126,29533580.406512037,142745155.93218237,64141219.773394644,0.0,159728195.13785565,314263389.76292235,6132196.587741399,34710671.915333614,28046036.38029246,1953270.8843245304,429255.6837966262,1977860.1917967952,1068783.02457702,347615942.1579522,81993475.82424928,37785833.5350986,98961.10037174927
5,2024.0,6.894113237339547,0.6359265772266983,0.195,1069339.0671075636,609954846.6577586,63104152.0,10231558.0,4572287.41613575,1384634.7654754238,29603989.361938663,233883579.4514721,90912263.42058176,0.0,328009926.0802696,652644542.1620185,11297989.336029153,55881980.381781094,30944649.927644633,3637621.2507800977,783442.796967266,1948943.3353644267,504839.64738626714,559639620.5595703,134343806.57059947,52272168.7060589,51745.363324093574
6,2025.0,11.636198591045492,0.7915512009126981,0.195,967077.2651716117,1027193286.7030317,62550902.0,10231558.0,8403712.406488052,1739046.7677279462,29649809.619332284,397456915.3543032,163380078.31890193,0.0,586385187.3415009,1259222913.0980453,18689800.125371642,94225685.08226866,35047485.04494029,6430846.3868230395,2353580.7784880954,2314253.451795166,3347405.714228622,943639188.9861954,228301085.0173199,93931715.06730936,85444.66798825849
7,2026.0,20.003351434239356,1.0062246567408692,0.195,2904489.95149892,1815842718.243176,86840327.0,10231558.0,15457717.004719002,2186643.503487394,29755809.079262055,705552290.8204721,307534349.03048563,0.0,1040603330.537178,2342473538.082979,31555505.2371626,166651040.9352273,39330872.26305657,9688603.981210459,5454687.699074512,7655146.419749827,5091939.962047711,1668955263.8913736,405272489.4399689,176654250.27639735,5102.025529250424
8,2027.0,36.39294102399519,1.217339921469689,0.195,4711216.085438063,3259234022.149933,150328633.0,10231558.0,28422743.163918175,2748807.3866835386,29897842.57271916,1270468779.2279336,564015852.9280721,0.0,1862288646.690278,4284921025.8530164,56956028.05299154,300775749.30260843,53244930.03369401,16448724.846704893,2584872.8219155013,15673661.235203708,487178.56328264874,3012170024.455874,729763125.4441999,324486398.9351415,513092.1034734826
9,2028.0,62.50952461175434,1.5125505665677785,0.195,11865909.867734406,5835785434.335193,174728115.0,10231558.0,52252030.62297002,3454863.09782262,47959915.718690604,2273952422.1337996,1001222073.5761325,0.0,3425782019.008718,7855895239.261904,98757232.1632346,537097561.4524668,75198775.76064973,38163852.035035,16304787.937267514,21989881.83278744,7236767.503669859,5378855105.72789,1306168757.4063954,575225213.7988808,118637.68871337379
