,Fiscal Year,Debt Covenant Ratio,Rate Covenant Ratio,Partial Debt Covenant Failure,Partial Rate Covenant Failure,Reserve Fund Balance Initial Failure,R&R Fund Balance Initial Failure,Cap on Rate Stabilization Fund Transfers In,Rate Stabilization Funds Transferred In,Required R&R Fund Deposit,Required Reserve Fund Deposit,Necessary Use of Other Funds (Rate Stabilization Supplement),Final Net Revenues,Fixed Sales Revenue,Variable Sales Revenue,Reserve Fund Balancing Failure,Remaining Unallocated Deficit
0,2021.0,1.386130860522511,2.7681408242025385,0.0,0.0,0.0,1.0,4233325.0,4233325.0,47583586.63788457,0.0,0.0,164715066.02912086,152115106.99999997,24045299.753371693,0.0,0.0
1,2022.0,1.7334620171622226,2.1716575155682736,0.0,0.0,0.0,0.0,0.0,0.0,3100000.0,0.0,0.0,130807118.85953738,156532296.2727108,26878161.07698,0.0,0.0
2,2023.0,3.796818129670567,4.4534103521815345,0.0,0.0,0.0,1.0,6832080.463033406,6832080.463033406,3433910.48875086,0.0,0.0,255030672.0712956,359552663.2877847,25193648.161384594,0.0,0.0
3,2024.0,5.424805848456994,6.661036687273241,0.0,0.0,0.0,1.0,13445419.999075126,13445419.999075126,7027856.124855012,0.0,0.0,396467860.73791146,646327701.3922055,28712251.419590972,0.0,0.0
4,2025.0,8.812293828213042,11.31333939950318,0.0,0.0,0.0,1.0,24244198.10934753,24244198.10934753,9759438.405399859,0.0,0.0,683724209.2875545,1217884016.4239912,31846692.759978212,0.0,0.0
5,2026.0,10.10652852248718,15.75304358944839,0.0,0.0,1.0,1.0,44266010.85245607,44266010.85245607,14213834.34221387,12797969.819864351,0.0,1344023024.1987882,2385994133.048669,33696729.21042545,0.0,0.0
6,2027.0,11.17926653729685,17.963476861478032,0.0,0.0,1.0,1.0,84719480.32038073,84719480.32038073,22330731.926226377,33822343.14498069,0.0,2663581825.7242436,4735362301.116148,39437320.24714479,0.0,0.0
7,2028.0,14.425958383229833,29.649333866119967,0.0,0.0,1.0,1.0,168568541.78533584,168568541.78533584,39024848.373348236,68379616.17433727,0.0,5109641391.091134,9328001177.687437,41990305.68481982,0.0,0.0
8,2029.0,24.29009439897456,162.87679991812843,0.0,0.0,1.0,1.0,325364168.2005434,325364168.2005434,73503495.32308006,134465376.6784143,0.0,9729331622.952814,18343309221.125072,47201016.281283855,0.0,0.0
9,2030.0,26.60395365050158,349.88604032912394,0.0,0.0,1.0,1.0,641914943.3181463,641914943.3181463,138064968.7687359,262855253.83870864,0.0,19369302878.175175,36583689632.08602,53157027.0213965,0.0,0.0
10,2031.0,28.675193943806732,1724.6282114223015,0.0,0.0,1.0,1.0,1324666209.9738488,1324666209.9738488,267018725.14164925,526093250.87059605,0.0,38660568575.691055,73001599974.48499,58464107.92107068,0.0,0.0
11,2032.0,30.19866203187422,1367.4784898096138,0.0,0.0,1.0,1.0,2537881117.1196427,2537881117.1196427,544866738.7490311,1057293395.7475214,0.0,77410979234.22337,145903223484.331,64528124.9732952,0.0,0.0
12,2033.0,29.534707572661084,2367.680056353644,0.0,0.0,1.0,1.0,5091975953.24014,5091975953.24014,1043540014.6960297,2116429201.4575784,0.0,154921408681.5958,291533873843.7009,73759436.94924316,0.0,0.0
13,2034.0,31.025644122314496,3572.2317522551007,0.0,0.0,1.0,1.0,10444819759.228264,10444819759.228264,2084861081.7416077,4250930206.9950056,0.0,309358719956.375,582574486842.7189,75536081.40229295,0.0,0.0
14,2035.0,28.116965396994686,6952.624114343515,0.0,0.0,1.0,1.0,19997090317.41225,19997090317.41225,4303002228.669342,8487371004.861104,0.0,616893447144.1133,1164166777933.3855,92699786.21082877,0.0,0.0
15,2036.0,30.835915660571136,8352.775728965207,0.0,0.0,1.0,1.0,41701046479.57064,41701046479.57064,8176117729.562439,16868953229.058739,0.0,1229282707867.71,2326510624513.2466,96420437.63571663,0.0,0.0
16,2037.0,30.53066355765874,14833.885455063413,0.0,0.0,1.0,1.0,82462260991.70374,82462260991.70374,17123937423.214233,33592574016.79464,0.0,2471215222612.818,4649309518126.613,115681140.4952156,0.0,0.0
17,2038.0,28.535793238470777,63220.5520302773,0.0,0.0,1.0,1.0,165344584693.68054,165344584693.68054,34005057814.592773,67835429191.09814,0.0,4930376318258.528,9291200968587.549,121192522.55461942,0.0,0.0
18,2039.0,28.910517219020228,130164.53012355653,0.0,0.0,1.0,1.0,327746880614.5185,327746880614.5185,68001598447.06445,135214477249.20987,0.0,9857162007487.93,18568012440142.434,127044054.04993844,0.0,0.0
