,Fiscal Year,Annual Estimate,Gross Revenues,Water Sales Revenue,Fixed Operating Expenses,Variable Operating Expenses,Net Revenues,Debt Service,Acquisition Credits,Unencumbered Carryover Funds,R&R Fund Deposit,Rate Stabilization Fund Deposit,Other Funds Deposit,Uniform Rate,Variable Uniform Rate,TBC Rate,Rate Stabilization Fund Transfers In,R&R Fund Transfers In,Other Funds Transfers In,Interest Income,CIP Fund Transfer In,CIP Fund Deposit,Energy Savings Fund Transfer In,Energy Savings Fund Deposit,Debt Service Deferred
0,2020.0,168872283.0,177428927.0,169766978.0,61849872.0,26657538.0,88921517.0,70133315.0,10231558.0,4168060.0,4500000.0,0.0,1712872.0,2.559,0.4028,0.195,1600000.0,6607280.0,0.0,1893889.0,0.0,2343772.0,0.0,0.0,0.0
1,2021.0,178053678.0,182829643.0,175384352.0,71789709.0,25938571.0,85101363.0,70093840.0,10231558.0,4233325.0,3000000.0,0.0,0.0,2.559,0.3848,0.195,0.0,0.0,0.0,3211966.0,0.0,1775965.0,0.0,0.0,0.0
2,2022.0,185115929.0,184045222.0340457,174953047.20470172,74158769.397,26794543.843,83091908.7940457,71153640.0,10231558.0,4406502.791776425,3000000.0,0.0,0.0,2.5634,0.4174,0.195,0.0,2774849.0,0.0,1910823.0375675685,7691664.0,1775000.04,788387.0,200000.0,0.0
3,2023.0,178220663.57692,186572119.39640424,170194122.37822127,76606008.787101,27678763.789818995,82287346.81948423,62604333.0,10231558.0,4639207.866502593,1400000.0,0.0,0.0,2.72674739289142,0.45125008357203567,0.195,1100000.0,10967515.59983341,0.0,771273.551846989,11511368.0,3000000.0,427043.0,185000.0,0.0
4,2024.0,182261880.07195836,183505049.08307654,173073691.42968953,79134007.07707533,28592162.99488302,75778879.01111819,63104152.0,10231558.0,4453913.20727498,5000000.0,0.0,0.0,2.82680997258986,0.45358668787697076,0.195,1200000.0,4071881.0,0.0,1905563.4461120362,12274311.0,4000000.0,0.0,185000.0,0.0
5,2025.0,184763593.68433297,188113826.51624128,175977223.10400695,81745429.31061882,29535704.373714156,76832692.83190832,62550902.0,10231558.0,4535185.22699012,5000000.0,0.0,0.0,2.8532956134678975,0.47241372407635096,0.195,700000.0,6373146.0,0.0,1228272.1852441963,8312091.0,4250000.0,130844.0,185000.0,0.0
6,2026.0,213055496.09591594,214965178.0930855,203863119.94190365,84443028.47786923,30510382.61804672,100011766.99716955,80770527.0,10231558.0,4635237.6088882005,4500000.0,0.0,0.0,3.2312051632719143,0.4725667604283037,0.195,7100000.0,4438822.0,0.0,2027998.542293627,8304438.0,5500000.0,385275.0,185000.0,0.0
7,2027.0,221019800.392129,225278660.25651708,211853204.9005686,87229648.4176389,31517225.244442258,106531786.59443593,91841368.73004785,10231558.0,5149619.162120787,4750000.0,0.0,0.0,3.37466360042833,0.49152973640851194,0.195,200000.0,4634046.0,0.0,3641790.193827691,5240001.0,5250000.0,160431.0,185000.0,52417464.26995215
8,2028.0,230965688.90201417,234281970.7766251,221697417.54654655,90108226.81542097,32557293.67750885,111616450.28369527,97068610.40908435,10231558.0,5554573.836803879,4000000.0,0.0,0.0,3.4470767504072004,0.49446155270299436,0.195,1000000.0,3996596.0,0.0,3033383.393274669,2829527.0,3000000.0,331331.0,185000.0,124007168.8608678
9,2029.0,247263784.79533097,253743670.32069302,238125350.86225745,93081798.30032985,33631684.36886664,127030187.65149651,101618744.12613449,10231558.0,5759892.873852261,5000000.0,0.0,0.0,3.697666296039534,0.513454342046468,0.195,8700000.0,5063582.0,0.0,4794844.584583318,3252047.0,3000000.0,348374.0,185000.0,76911231.73473331
10,2030.0,248202343.19142777,252770149.45033458,239051326.03451118,96153497.64424072,34741529.95303924,121875121.85305464,106975757.59414779,10231558.0,5976296.7427753685,5000000.0,0.0,0.0,3.7085215341701194,0.5294091742168503,0.195,100000.0,4837252.0,0.0,2905274.6730480124,2715748.0,3000000.0,143262.0,185000.0,20011230.140585527
11,2031.0,179886155.64857572,196078976.46036223,181333642.123989,99326563.06650066,35888000.441489525,60864412.95237204,36671592.14058553,0.0,6195729.229572901,5000000.0,0.0,0.0,2.7353215769243593,0.5617874659081965,0.195,8000000.0,5148861.0,0.0,3400744.1068003573,2121309.0,3000000.0,269483.0,185000.0,0.0
