,Fiscal Year,Annual Estimate,Gross Revenues,Water Sales Revenue,Fixed Operating Expenses,Variable Operating Expenses,Net Revenues,Debt Service,Acquisition Credits,Unencumbered Carryover Funds,R&R Fund Deposit,Rate Stabilization Fund Deposit,Other Funds Deposit,Uniform Rate,Variable Uniform Rate,TBC Rate,Rate Stabilization Fund Transfers In,R&R Fund Transfers In,Other Funds Transfers In,Interest Income,CIP Fund Transfer In,CIP Fund Deposit,Energy Savings Fund Transfer In,Energy Savings Fund Deposit,Debt Service Deferred
0,2020.0,168872283.0,177428927.0,169766978.0,61849872.0,26657538.0,88921517.0,70133315.0,10231558.0,4168060.0,4500000.0,0.0,1712872.0,2.559,0.4028,0.195,1600000.0,6607280.0,0.0,1893889.0,0.0,2343772.0,0.0,0.0,0.0
1,2021.0,178053678.0,182829643.0,175384352.0,71789709.0,25938571.0,85101363.0,70093840.0,10231558.0,4233325.0,3000000.0,0.0,0.0,2.559,0.3848,0.195,0.0,0.0,0.0,3211966.0,0.0,1775965.0,0.0,0.0,0.0
2,2022.0,185115929.0,199666309.0588214,172759599.40164658,139408821.11567298,28645550.054924883,31611937.88822355,54109747.395909026,10231558.0,15127942.50373907,4500000.0,0.0,0.0,2.5634,0.4174,0.195,0.0,10986322.806901712,0.0,792444.3465340583,0.0,1166109.7941429582,0.0,1274840.1071814802,17043892.604090974
3,2023.0,373119921.67368484,386774725.33171123,363395304.8977115,270718737.7631202,31635032.55245661,84420955.01613444,60534593.358108066,10231558.0,15767974.119592698,3800000.0,0.0,0.0,5.698471046366292,0.4908856556608639,0.195,0.0,5883040.7989819255,0.0,1728405.5154251156,0.0,648681.7705189615,0.0,1482283.9946624152,19113632.245982908
4,2024.0,653096012.6046125,695423215.4575523,643850817.5680826,525710169.4823641,34936500.87626546,134776545.09892273,82217784.24598292,10231558.0,31989347.12206824,2700000.0,0.0,0.0,10.111157128310856,0.556151217266992,0.195,0.0,17929822.35656403,0.0,1653228.4108374687,0.0,481783.9016083467,0.0,1028792.181299699,0.0
5,2025.0,1146644373.1941245,1198998347.7745514,1136554128.4534085,1020879398.9686881,38582514.22543629,139536434.58042696,62550902.0,10231558.0,56100253.0003956,4900000.0,0.0,0.0,17.675925823955065,0.5969389978087688,0.195,14400000.0,4179796.3212661743,0.0,2164169.999481163,0.0,1508037.9215858532,0.0,441644.12108689133,0.0
6,2026.0,2125828754.4149392,2224793421.7032366,2115654575.6043818,1982485426.4042506,43371443.01068846,198936552.2882975,86840327.0,10231558.0,97210910.64188854,3100000.0,0.0,0.0,32.18274821328897,0.6574630356965,0.195,2900000.0,2801064.225011587,0.0,9126871.23195481,0.0,4430035.21113741,0.0,1209491.9993625216,0.0
7,2027.0,4074553671.761433,4255763460.744619,4064366713.9606495,3849833330.8583174,48660149.90311564,357269979.9831859,150328633.0,10231558.0,182128054.95231164,4700000.0,0.0,0.0,62.10154513661865,0.7423219292908277,0.195,15500000.0,3718126.797957495,0.0,5550565.033700531,0.0,9810897.087204898,0.0,1061511.345603583,0.0
8,2028.0,7850106711.63609,8204704262.725523,7839888682.715516,7476046246.316211,54500792.31987981,674157224.0894325,174728115.0,10231558.0,348444525.1538766,2800000.0,0.0,0.0,116.95050562860524,0.8121493668225261,0.195,134600000.0,1925725.0437613428,0.0,14445329.81236893,0.0,16843439.205137644,0.0,1543475.2905705546,0.0
9,2029.0,14697183700.230537,15390556167.244978,14686976022.186623,14517808564.344446,60950970.88609055,811796632.0144413,60592607.0,10231558.0,662151593.332515,2500000.0,0.0,0.0,219.39381638883012,0.9102064215064426,0.195,47600000.0,5718336.613315105,0.0,35710215.11252402,0.0,35730382.463564426,0.0,923622.9124628829,0.0
10,2030.0,28858496005.842438,30169531304.193203,28848266428.56674,28192244594.3482,68074297.49423689,1909212412.3507643,56145556.0,10231558.0,1257277803.3630931,3200000.0,0.0,0.0,430.419243400553,1.0153430368913399,0.195,531799999.99999994,773484.5924261808,0.0,63213587.67094536,0.0,41642020.45165872,0.0,1892562.3608762193,0.0
11,2031.0,55929376479.82495,58443132783.707664,55929400736.197495,54746705295.17799,75941022.64695384,3620486465.8827167,22730162.0,0.0,2431023873.8342004,2600000.0,0.0,0.0,848.9335291402198,1.1530495054327337,0.195,1084000000.0,17743840.946165323,0.0,64964332.72980444,0.0,62953632.01655027,0.0,1211521.643248961,0.0
