,Fiscal Year,Debt Covenant Ratio,Rate Covenant Ratio,Partial Debt Covenant Failure,Partial Rate Covenant Failure,Reserve Fund Balance Initial Failure,R&R Fund Balance Initial Failure,Cap on Rate Stabilization Fund Transfers In,Rate Stabilization Funds Transferred In,Required R&R Fund Deposit,Required Reserve Fund Deposit,Necessary Use of Other Funds (Rate Stabilization Supplement),Final Net Revenues,Fixed Sales Revenue,Variable Sales Revenue,Reserve Fund Balancing Failure,Remaining Unallocated Deficit
0,2021.0,1.3417226181736182,1.895712066800988,0.0,0.0,0.0,0.0,4233325.0,917894.9646355883,3000000.0,0.0,0.0,103563184.29641776,150734049.177746,24045299.753371693,0.0,0.0
1,2022.0,1.9683404610764046,2.6671644600759854,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,158631756.28184578,137412611.8661072,26878161.07698,0.0,0.0
2,2023.0,2.1476803233767527,3.008870525465101,0.0,0.0,0.0,0.0,8212497.438259297,8212497.438259297,4099999.9999999995,0.0,0.0,155935244.05808744,142387027.96619397,25295269.573200487,0.0,0.0
3,2024.0,2.0783437814818155,2.957032297928555,0.0,0.0,0.0,0.0,7747099.99559757,7747099.99559757,4800000.0,0.0,0.0,153770446.52957204,140851144.56065175,26133133.81057114,0.0,0.0
4,2025.0,2.076936330983739,2.920870843981928,0.0,0.0,0.0,0.0,7885726.337145658,7885726.337145658,3500000.0,0.0,0.0,149317637.4442511,142340674.42531323,28468560.59455958,0.0,0.0
5,2026.0,1.7887661197921136,2.359878539658043,0.0,0.0,0.0,0.0,8149857.651330748,8149857.651330748,3000000.0,0.0,0.0,171199101.17909327,146144858.70043814,24692603.252445545,0.0,0.0
6,2027.0,1.343455297344131,1.779992630035582,0.0,0.0,0.0,0.0,0.0,0.0,2600000.0,0.0,0.0,158985956.9590515,145592926.8480333,23519179.432809733,0.0,0.0
7,2028.0,1.5092677033366215,1.9890162354746113,0.0,0.0,0.0,0.0,0.0,0.0,2700000.0,0.0,0.0,175703476.36860448,162023580.44681233,25901515.21757956,0.0,0.0
8,2029.0,1.666164461053435,2.1486375358129903,0.0,0.0,0.0,0.0,0.0,0.0,4400000.0,0.0,0.0,210712079.3761542,194087330.9558314,25302753.756231595,0.0,0.0
9,2030.0,1.828733491686039,2.3431556689806663,0.0,0.0,0.0,0.0,0.0,0.0,3900000.0,0.0,0.0,223065914.18440548,193382828.98059574,25651159.207998656,0.0,0.0
10,2031.0,3.224528228044518,6.816931550620955,0.0,0.0,0.0,0.0,0.0,0.0,4600000.0,0.0,0.0,116443820.33021075,126108282.16760305,42140163.551463515,0.0,0.0
11,2032.0,2.2576972626748204,3.344011325855774,0.0,0.0,0.0,0.0,8523692.023095695,8523692.023095695,2700000.0,0.0,0.0,152646302.40632862,150027608.75526866,35559820.26865102,0.0,0.0
12,2033.0,2.1678555335302923,3.0896362804412476,0.0,0.0,0.0,0.0,9023493.113499986,9023493.113499986,3800000.0,0.0,0.0,164873992.78385875,150630654.92414173,34460632.67232496,0.0,0.0
13,2034.0,1.7610426751585433,2.4222025538830456,0.0,0.0,0.0,0.0,9677676.968284149,9677676.968284149,4000000.0,0.0,0.0,172151078.43805656,152399560.21312758,30805312.469583992,0.0,0.0
14,2035.0,1.565613023340569,2.2418522594537253,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,160034076.29534525,154621121.85400036,32290192.42193188,0.0,0.0
15,2036.0,1.6902776965771762,2.208431149880556,0.0,0.0,0.0,0.0,0.0,0.0,3700000.0,0.0,0.0,213484350.3120916,210075968.9551656,29862383.378364988,0.0,0.0
16,2037.0,1.7258655434059018,2.1911065948811297,0.0,0.0,0.0,0.0,0.0,0.0,2700000.0,0.0,0.0,259403385.1840035,237126798.98093155,30333528.06863473,0.0,0.0
17,2038.0,1.7867646380293867,2.254567251078201,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,278223784.662663,245788194.12503898,30617350.117205422,0.0,0.0
18,2039.0,2.1557911063163053,3.1261377872284917,0.0,0.0,0.0,0.0,0.0,0.0,4600000.0,0.0,0.0,195016562.8613822,187029509.56329995,37502949.72307354,0.0,0.0
