,Fiscal Year,Debt Covenant Ratio,Rate Covenant Ratio,Partial Debt Covenant Failure,Partial Rate Covenant Failure,Reserve Fund Balance Initial Failure,R&R Fund Balance Initial Failure,Cap on Rate Stabilization Fund Transfers In,Rate Stabilization Funds Transferred In,Required R&R Fund Deposit,Required Reserve Fund Deposit,Necessary Use of Other Funds (Rate Stabilization Supplement),Final Net Revenues,Fixed Sales Revenue,Variable Sales Revenue,Reserve Fund Balancing Failure,Remaining Unallocated Deficit
0,2021.0,0.9307731943079603,1.4123989126314456,0.0,0.0,0.0,0.0,4233325.0,1495355.3107091892,3000000.0,0.0,0.0,69685909.39816253,150734049.177746,24227882.802702263,0.0,0.0
1,2022.0,0.7086583384641859,1.1902190881382386,0.0,0.0,0.0,0.0,4376614.047453339,251407.63623547158,1400000.0,0.0,0.0,53541716.98732126,138658852.96531644,25882805.03648,0.0,0.0
2,2023.0,0.8445387185968688,1.5619958874160678,0.0,0.0,0.0,0.0,4121094.3510857783,4121094.3510857783,5000000.0,0.0,0.0,65614068.045187876,136089126.38647094,27151516.93184487,0.0,0.0
3,2024.0,0.8637711132825412,1.573200187072979,0.0,0.0,0.0,0.0,4083063.5829578955,4083063.5829578955,5000000.0,0.0,0.0,66026390.173886634,141960686.01267534,26727436.774458822,0.0,0.0
4,2025.0,0.8855274783413297,1.618971087829774,0.0,0.0,0.0,0.0,4217788.069678354,4217788.069678354,4500000.0,0.0,0.0,66800238.05526599,143809628.16867328,28327467.917143576,0.0,0.0
5,2026.0,0.9380683829659218,1.5041542556925749,0.0,0.0,0.0,0.0,4308239.219106927,4308239.219106927,4750000.0,0.0,0.0,83811647.25064802,146948214.7468513,25635204.068417195,0.0,0.0
6,2027.0,0.9685305338729346,1.5226170422849785,0.0,0.0,0.0,0.0,4316202.457644427,4316202.457644427,4000000.0,0.0,0.0,83059493.45845836,143942218.92771652,26575450.36209608,0.0,0.0
7,2028.0,0.9525654964267853,1.5479914694867343,0.0,0.0,0.0,0.0,490001.236584547,490001.236584547,5000000.0,0.0,0.0,80028240.2848435,148833648.7101752,27149404.05625653,0.0,0.0
8,2029.0,0.9626515923571226,1.557220534614794,0.0,0.0,0.0,0.0,1788250.911216915,1788250.911216915,5000000.0,0.0,0.0,81918185.45543207,147057892.70398277,27788358.616318114,0.0,0.0
9,2030.0,0.8402302973624933,1.434206799269282,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,6393754.752513945,72302999.52654323,145027250.0664085,28308600.575119827,0.0,0.0
10,2031.0,0.9880560942786373,1.4742889005033974,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,82988013.67562369,147409879.03723365,31141198.61370612,0.0,0.0
11,2032.0,0.8094284726980778,1.3270127428526246,0.0,0.0,0.0,0.0,3662026.878542141,3662026.878542141,3000000.0,0.0,0.0,72796799.1719343,148841899.0201722,30524373.340315517,0.0,0.0
12,2033.0,0.852327437355944,1.4764818140315465,0.0,0.0,0.0,0.0,4484449.309012192,4484449.309012192,1400000.0,0.0,0.0,79656682.69291723,148780202.4491897,32936632.97248033,0.0,0.0
13,2034.0,0.8072301133326477,1.4830931033170927,0.0,0.0,0.0,0.0,4549063.385541751,4549063.385541751,5000000.0,0.0,0.0,82451795.5464845,151315594.36625123,31796175.645439018,0.0,0.0
14,2035.0,0.8184878529558054,1.3908915836718483,0.0,0.0,0.0,0.0,2226234.2621846832,2226234.2621846832,5000000.0,0.0,0.0,77540492.39856121,149234702.03936452,33957891.780957095,0.0,0.0
15,2036.0,0.8126159134179601,1.245714938502739,0.0,0.0,0.0,0.0,0.0,0.0,4500000.0,0.0,11488248.635751829,76124767.69284925,152242651.09040645,32491784.99788476,0.0,0.0
16,2037.0,0.7149341501165644,0.920861135785939,0.0,0.0,1.0,0.0,0.0,0.0,4750000.0,10712587.060964875,23667493.98503056,65780507.14144899,147621711.9062545,32709521.995589726,1.0,23667493.98503056
17,2038.0,0.7048089159997237,0.7671060229404654,0.0,0.0,1.0,0.0,0.0,0.0,4000000.0,19336918.394126095,20286586.370162375,60751491.31722493,146377470.42848247,34243334.434371755,1.0,20430325.62962421
18,2039.0,0.7548131955955951,0.7842599111249245,0.0,0.0,1.0,1.0,0.0,0.0,139966.45766464993,19670453.8079885,19564314.6231656,63123002.40547148,150092261.98814118,36120199.6055897,1.0,19564314.6231656
