,Fiscal Year,Annual Estimate,Gross Revenues,Water Sales Revenue,Fixed Operating Expenses,Variable Operating Expenses,Net Revenues,Debt Service,Acquisition Credits,Unencumbered Carryover Funds,R&R Fund Deposit,Rate Stabilization Fund Deposit,Other Funds Deposit,Uniform Rate,Variable Uniform Rate,TBC Rate,Rate Stabilization Fund Transfers In,R&R Fund Transfers In,Other Funds Transfers In,Interest Income,CIP Fund Transfer In,CIP Fund Deposit,Energy Savings Fund Transfer In,Energy Savings Fund Deposit,Debt Service Deferred
0,2020.0,168872283.0,177428927.0,169766978.0,61849872.0,26657538.0,88921517.0,70133315.0,10231558.0,4168060.0,4500000.0,0.0,1712872.0,2.559,0.4028,0.195,1600000.0,6607280.0,0.0,1893889.0,0.0,2343772.0,0.0,0.0,0.0
1,2021.0,178053678.0,182829643.0,175384352.0,71789709.0,25938571.0,85101363.0,70093840.0,10231558.0,4233325.0,3000000.0,0.0,0.0,2.559,0.3848,0.195,0.0,0.0,0.0,3211966.0,0.0,1775965.0,0.0,0.0,0.0
2,2022.0,185115929.0,184634541.40455183,175153964.2397078,74158769.397,26794543.843,83681228.16455184,71153640.0,10231558.0,4376614.047453339,3000000.0,0.0,0.0,2.5634,0.4174,0.195,0.0,2774849.0,0.0,2329114.1173907057,7691664.0,1775000.04,788387.0,200000.0,0.0
3,2023.0,180020663.57692,186516316.4810792,169356350.1081835,76606008.787101,27678763.789818995,82231543.90415919,62604333.0,10231558.0,4121094.3510857783,1400000.0,0.0,0.0,2.5890340000000003,0.42669398845879647,0.195,19967539.023397636,12075338.664684506,0.0,963533.3571253901,11511368.0,3000000.0,427043.0,185000.0,0.0
4,2024.0,183461880.07195836,181815800.76124963,172076566.5369239,79134007.07707533,28592162.99488302,74089630.68929128,63104152.0,10231558.0,4086338.3282552483,5000000.0,0.0,0.0,2.6149243400000004,0.4167809985805064,0.195,16157552.701253494,4071881.0,0.0,1581014.8960705039,12274311.0,4000000.0,0.0,185000.0,0.0
5,2025.0,188763593.68433297,190013099.0872039,177317643.16847062,81745429.31061882,29535704.373714156,78731965.40287092,62550902.0,10231558.0,4220022.929780316,5000000.0,0.0,0.0,2.6410735834000003,0.4276866994895199,0.195,20980675.73170866,6373146.0,0.0,2102286.9889529585,8312091.0,4250000.0,130844.0,185000.0,0.0
6,2026.0,210341049.06610256,207790614.48920205,196153918.89001173,84443028.47786923,30510382.61804672,92837203.39328611,78956079.97018664,10231558.0,4297367.362716555,4500000.0,0.0,0.0,2.6674843192340005,0.3952651137733503,0.195,39965330.29505975,4438822.0,0.0,2900506.236473769,8304438.0,5500000.0,385275.0,185000.0,1814447.0298133641
7,2027.0,208206750.69674677,203776594.58624372,193877536.17262712,87229648.4176389,31517225.244442258,85029720.92416257,78228319.03466563,10231558.0,4306207.584020934,4750000.0,0.0,0.0,2.6941591624263403,0.41711103309777775,0.195,34620239.08265843,4634046.0,0.0,958804.8295956601,5240001.0,5250000.0,160431.0,185000.0,67844960.99514772
8,2028.0,209062759.97950548,205057653.63783634,195319133.4363675,90108226.81542097,32557293.67750885,82392133.14490652,75965681.48657566,10231558.0,4290755.93765871,4000000.0,0.0,0.0,2.7211007540506036,0.43201508555341306,0.195,28774260.091262605,3996596.0,0.0,1451168.2638101354,2829527.0,3000000.0,331331.0,185000.0,160537594.50857204
9,2029.0,219255209.21163717,216746734.4085292,204012115.6865307,93081798.30032985,33631684.36886664,90033251.7393327,77410168.54244068,10231558.0,4426640.4389799,5000000.0,0.0,0.0,2.7483117615911095,0.4315311243317089,0.195,44364585.25855318,5063582.0,0.0,3244396.2830185955,3252047.0,3000000.0,348374.0,185000.0,137650232.96613136
10,2030.0,223911981.86278084,217806540.06353706,207695335.83823842,96153497.64424072,34741529.95303924,86911512.4662571,78385396.26550087,10231558.0,4368182.05500041,5000000.0,0.0,0.0,2.7757948792070204,0.4401939055219498,0.195,49437573.883230895,4837252.0,0.0,905770.1702982276,2715748.0,3000000.0,143262.0,185000.0,109340592.70063049
11,2031.0,213975823.55234498,221150169.06494966,209821797.8755779,99326563.06650066,35888000.441489525,85935605.55695948,75761260.04435481,0.0,4335558.884386375,5000000.0,0.0,0.0,2.8035528279990904,0.4818051457495604,0.195,34589873.82227219,5148861.0,0.0,1843951.3049854098,2121309.0,3000000.0,269483.0,185000.0,50239694.656275675
