,Fiscal Year,Debt Covenant Ratio,Rate Covenant Ratio,Partial Debt Covenant Failure,Partial Rate Covenant Failure,Reserve Fund Balance Initial Failure,R&R Fund Balance Initial Failure,Cap on Rate Stabilization Fund Transfers In,Rate Stabilization Funds Transferred In,Required R&R Fund Deposit,Required Reserve Fund Deposit,Necessary Use of Other Funds (Rate Stabilization Supplement),Final Net Revenues,Fixed Sales Revenue,Variable Sales Revenue,Reserve Fund Balancing Failure,Remaining Unallocated Deficit
0,2021.0,0.9308533302514967,1.4124845076728654,0.0,0.0,0.0,0.0,4233325.0,1501354.9958472508,3000000.0,0.0,0.0,69691909.0833006,150734049.177746,24227882.802702263,0.0,0.0
1,2022.0,0.708540048504737,1.190093483362266,0.0,0.0,0.0,0.0,4376614.047453339,242470.39922364894,1400000.0,0.0,0.0,53532779.75030944,138658852.96531644,25882805.03648,0.0,0.0
2,2023.0,0.8446554446337042,1.5557584381992222,0.0,0.0,0.0,0.0,4121094.3510857783,4121094.3510857783,5000000.0,0.0,0.0,65656552.67822285,136089126.3864709,27268437.779183067,0.0,0.0
3,2024.0,0.8640036349944574,1.5708153731252226,0.0,0.0,0.0,0.0,4085986.6041413494,4085986.6041413494,5000000.0,0.0,0.0,66164147.753256805,141960686.01267534,26682962.698949296,0.0,0.0
4,2025.0,0.8851518110416717,1.6138781846904366,0.0,0.0,0.0,0.0,4216676.217790616,4216676.217790616,4500000.0,0.0,0.0,66592714.71874803,143809628.16867325,28123887.746030558,0.0,0.0
5,2026.0,0.9375948429665474,1.5062551312528576,0.0,0.0,0.0,0.0,4303149.714829101,4303149.714829101,4750000.0,0.0,0.0,83238652.39530021,146948214.74685127,25355741.748191454,0.0,0.0
6,2027.0,0.9686432141217697,1.5232037093002473,0.0,0.0,0.0,0.0,4309215.899638783,4309215.899638783,4000000.0,0.0,0.0,83269586.58576196,143942218.92771652,26702449.31642111,0.0,0.0
7,2028.0,0.9530500704100773,1.5501843143839953,0.0,0.0,0.0,0.0,1449813.4714198355,1449813.4714198355,5000000.0,0.0,0.0,80514942.33471441,148833648.7101752,27270256.347156633,0.0,0.0
8,2029.0,0.9481115239995402,1.5481009232073368,0.0,0.0,0.0,0.0,4027326.4253519573,4027326.4253519573,5000000.0,0.0,0.0,81714614.42314048,147057892.70398277,27425976.85011402,0.0,0.0
9,2030.0,0.8543138943370305,1.4590346505010683,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,5169978.424935803,73445347.44120473,145027250.06640846,28634024.412504245,0.0,0.0
10,2031.0,0.9879022121195978,1.5101248971818624,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,83305603.00759545,147409879.03723365,30462310.568305146,0.0,0.0
11,2032.0,0.8069700225644983,1.3587482571946048,0.0,0.0,0.0,0.0,902447.713090674,902447.713090674,3000000.0,0.0,0.0,71734528.96047804,148841899.0201722,31418621.231286634,0.0,0.0
12,2033.0,0.852539494349694,1.5035455742174706,0.0,0.0,0.0,0.0,4506805.506286471,4506805.506286471,1400000.0,0.0,0.0,79471032.14591208,148780202.44918966,33107638.894587692,0.0,0.0
13,2034.0,0.8074528708884009,1.5025563874595453,0.0,0.0,0.0,0.0,4553338.533594434,4553338.533594434,5000000.0,0.0,0.0,82506212.96223351,151315594.36625123,32606925.64612954,0.0,0.0
14,2035.0,0.8662008723237639,1.4684853698286453,0.0,0.0,0.0,0.0,3834091.84362863,3834091.84362863,5000000.0,0.0,0.0,82130163.52634689,149234702.03936458,33277904.084708128,0.0,0.0
15,2036.0,0.7849431211466005,1.2832349467305342,0.0,0.0,0.0,0.0,0.0,0.0,4500000.0,0.0,14482654.177864894,74999893.22429407,152242651.09040645,32646036.300484974,0.0,0.0
16,2037.0,0.7100709775752504,0.9223105263740623,0.0,0.0,1.0,0.0,0.0,0.0,4750000.0,10191730.236693244,24071313.523109287,65226178.37015949,147621711.9062545,32755873.885681562,1.0,24071313.523109287
17,2038.0,0.729016046597097,0.7937874019293256,0.0,0.0,1.0,0.0,0.0,0.0,4000000.0,19234250.29864921,18089168.39943728,62539779.41906849,146377470.42848253,33893548.784945264,1.0,18186514.59938577
18,2039.0,0.7271285748321683,0.7551289727530395,0.0,0.0,1.0,1.0,0.0,0.0,121204.92850000598,19811759.559843566,22028745.384000294,61205496.64179332,150092261.9881412,35886098.13197284,1.0,22028745.384000294
