,Fiscal Year,Uniform Rate (Full),Uniform Rate (Variable Portion),TBC Sales Rate,Interest Income,Gross Revenues,Debt Service,Acquisition Credits,Fixed Operational Expenses,Variable Operational Expenses,Utility Reserve Fund Balance (Total),R&R Fund (Total),R&R Fund (Deposit),R&R Fund (Transfer In),Rate Stabilization Fund (Deposit),Rate Stabilization Fund (Total),Rate Stabilization Fund (Transfer In),Unencumbered Funds,CIP Fund (Total),CIP Fund (Deposit),CIP Fund (Transfer In),Misc. Income,Insurance-Litigation-Arbitrage Income,Uniform Sales Revenues,Energy Savings Fund (Total),Energy Savings Fund (Deposit),Energy Savings Fund (Transfer In)
0,2019.0,2.559,0.3988,0.157,3804846.0,183438752.0,70122276.0,10231557.0,49732982.13999998,19832479.01,29652353.0,33914245.0,5509008.0,0.0,17086535.0,41581818.45,7039535.0,4772886.0,27141633.0,5356993.0,653919.0,460656.0,6476.0,166187166.0,553050.0,270869.0,0.0
1,2020.0,2.559,0.4028,0.195,3738379.0,195303127.0,70354915.0,10231558.0,62503746.0,22008411.0,29314554.0,32687852.0,4988288.0,2593877.0,17374383.0,35700886.0,11468475.0,4168060.0,25046262.0,7427045.0,1752408.0,492126.0,19851.0,170303928.0,950977.0,338228.0,0.0
2,2021.0,2.559,0.3848,0.195,4817949.0,197163316.72086433,70093840.0,10231558.0,50252796.3,23344713.900000002,31146703.531195242,33505444.68192296,3000000.0,2774849.0,33194631.19094454,68203306.55612059,1482550.2424664474,4376614.047453339,19583541.896120097,1775000.04,7691664.0,691645.0500755501,406772.5301887484,175064561.89813358,1862375.954783979,1682550.2424664474,788387.0
3,2022.0,2.5634,0.4174,0.195,2605452.4026384586,199712601.6879495,71153640.0,10231558.0,51911138.5779,24115089.458699998,32114176.031784587,20558423.791401222,1400000.0,14631014.0,33761765.52786556,102027286.79647645,260358.77239818568,4121094.3510857793,11238164.558547497,3000000.0,11511368.0,1255862.300987142,228158.12104122734,164843774.04343116,1896477.2791555133,445358.7723981857,427043.0
4,2023.0,2.5890340000000003,0.4328733470634205,0.195,2140764.4143176577,192357508.66006097,62604333.0,10231558.0,53624206.1509707,24910887.410837095,32902178.95424035,21620975.56234699,5000000.0,4071881.0,21636351.236589253,120184827.82395643,4121094.3510857783,4096215.921879871,9106297.533003049,10068956.939784052,12274311.0,1586859.027935229,192867.6404416924,163848636.87519482,2093878.4582662974,185000.0,0.0
5,2024.0,2.6149243400000004,0.4137824081718646,0.195,1966410.932979303,194809555.2229731,63104152.0,10231558.0,55393804.95395273,25732946.695394717,33623162.40197481,20372718.566616878,5000000.0,6373146.0,22689103.160405368,139590920.93661347,4096215.921879871,4215199.491749552,9235442.061148657,8388634.921470735,8312091.0,316421.316326914,1041074.4599251118,168607979.66998208,2160129.3054650724,185000.0,130844.0
6,2025.0,2.6410735834000003,0.4370316148597755,0.195,2158749.156581841,198690415.94696248,62550902.0,10231558.0,57221800.51743317,26582133.936342742,34403670.940077454,20553653.051782295,4500000.0,4438822.0,25034778.766236674,161328458.46268713,4215199.491749551,4312603.628395088,9442206.647348123,8456914.098554801,8304438.0,1904811.8643043346,949050.8067736779,172504145.13580352,1972552.1441103874,185000.0,385275.0
7,2026.0,2.6674843192340005,0.399494615093187,0.195,1254665.109225804,194080095.20597562,79476166.378785,10231558.0,59110119.93450846,27459344.35624205,34850993.330160506,20734465.314934574,4750000.0,4634046.0,3465379.2177555906,160990670.19790915,4312603.628395087,4312958.318684529,9482001.086724717,5250000.0,5240001.0,823176.3879038787,984666.7046746371,172518332.74738115,2003345.648616812,185000.0,160431.0
8,2027.0,2.6941591624263403,0.40985561789259717,0.195,4429361.872862765,190641832.13407752,77632038.08239025,10231558.0,61060753.892347224,28365502.71999803,36413342.49851071,20955870.364045393,4000000.0,3996596.0,2219408.031201924,161403290.3172753,3465379.2177555906,4278902.408140098,9752167.334328601,3000000.0,2829527.0,253914.97411886728,197998.42505187576,171156096.3256039,1878077.7166292525,185000.0,331331.0
9,2028.0,2.7211007540506036,0.4278608510572136,0.195,2659070.39511735,195754545.82630217,76256732.85363102,10231558.0,63075758.770794675,29301564.309757967,37360754.932989895,21024344.514793172,5000000.0,5063582.0,4500184.203819795,164842214.70879108,2219408.031201924,4419946.738387535,9561574.888935374,3000000.0,3252047.0,496859.6538043229,986806.8025370983,176797869.5355014,1858713.6182630218,317174.9499111837,348374.0
