,Fiscal Year,Uniform Rate (Full),Uniform Rate (Variable Portion),TBC Sales Rate,Interest Income,Gross Revenues,Debt Service,Acquisition Credits,Fixed Operational Expenses,Variable Operational Expenses,Utility Reserve Fund Balance (Total),R&R Fund (Total),R&R Fund (Deposit),R&R Fund (Transfer In),Rate Stabilization Fund (Deposit),Rate Stabilization Fund (Total),Rate Stabilization Fund (Transfer In),Unencumbered Funds,CIP Fund (Total),CIP Fund (Deposit),CIP Fund (Transfer In),Misc. Income,Insurance-Litigation-Arbitrage Income,Uniform Sales Revenues,Energy Savings Fund (Total),Energy Savings Fund (Deposit),Energy Savings Fund (Transfer In)
0,2019.0,2.559,0.3988,0.157,3804846.0,183438752.0,70122276.0,10231557.0,49732982.13999998,19832479.01,29652353.0,33914245.0,5509008.0,0.0,17086535.0,41581818.45,7039535.0,4772886.0,27141633.0,5356993.0,653919.0,460656.0,6476.0,166187166.0,553050.0,270869.0,0.0
1,2020.0,2.559,0.4028,0.195,3738379.0,195303127.0,70354915.0,10231558.0,62503746.0,22008411.0,29314554.0,32687852.0,4988288.0,2593877.0,17374383.0,35700886.0,11468475.0,4168060.0,25046262.0,7427045.0,1752408.0,492126.0,19851.0,170303928.0,950977.0,338228.0,0.0
2,2021.0,2.559,0.3848,0.195,4817949.0,197830539.47966853,70093840.0,10231558.0,50252796.3,23344713.900000002,31146703.531195242,33505444.68192296,3000000.0,2774849.0,33855247.783819966,68857316.98306726,1489156.408395202,4376614.047453339,19583541.896120097,1775000.04,7691664.0,413424.77631471603,1345609.396825029,175064561.89813358,1868982.1207127336,1689156.408395202,788387.0
3,2022.0,2.5634,0.4174,0.195,2854169.1737217773,200136219.63713157,71153640.0,10231558.0,51911138.5779,24115089.458699998,32205682.155085027,20584620.60954711,1400000.0,14631014.0,34189232.26601794,103171993.45970184,256509.98342784098,4121094.3510857793,11253476.29341851,3000000.0,11511368.0,322041.7834567848,1340728.6056406486,164843774.04343116,1900751.9465370371,441509.983427841,427043.0
4,2023.0,2.5890340000000003,0.4308045631565418,0.195,1879002.1436446658,193085336.03839734,62604333.0,10231558.0,53624206.1509707,24910887.410837095,32896870.844332214,21630254.569536056,5000000.0,4071881.0,22337163.51348317,121948872.96241233,4121094.3510857783,4092909.008001461,9142688.901919868,10099278.955104914,12274311.0,1948206.3492235008,953386.523299181,163716360.32005844,2096603.0957120976,185000.0,0.0
5,2024.0,2.6149243400000004,0.4205317697217949,0.195,1912947.1143265225,195904822.27079368,63104152.0,10231558.0,55393804.95395273,25732946.695394717,33596887.45945471,20377776.692663457,5000000.0,6373146.0,23753544.88204472,142422969.0491614,4092909.0080014616,4226056.302032641,9290205.413539683,8408603.437368829,8312091.0,1073028.7817609722,1005539.2773976217,169042252.08130562,2162455.359373228,185000.0,130844.0
6,2025.0,2.6410735834000003,0.4237371877235487,0.195,3969688.996563101,198587958.4808614,62550902.0,10231558.0,57221800.51743317,26582133.936342742,35028024.08063051,20656896.155121922,4500000.0,4438822.0,25058953.988213588,164843960.00532997,4226056.302032641,4290927.945324035,9437083.77404307,8351957.093547863,8304438.0,1424667.6627331378,361111.4045384649,171637117.8129614,1985307.9404941178,185000.0,385275.0
7,2026.0,2.6674843192340005,0.4017446573744638,0.195,2005656.3169619674,195649083.2536313,79435183.39234456,10231558.0,59110119.93450846,27459344.35624205,35743694.48210521,20875546.724744093,4750000.0,4634046.0,5071758.944679969,166469940.8993484,4290927.945324035,4316549.625856257,9493999.606250264,5250000.0,5240001.0,1665602.6292210484,859936.3825499149,172661985.0342503,2019746.9768055435,185000.0,160431.0
8,2027.0,2.6941591624263403,0.4158214985070022,0.195,4177708.890071787,192899345.0436537,78259633.30145252,10231558.0,61060753.892347224,28365502.71999803,37218794.66659007,21081680.031349786,4000000.0,3996596.0,3839578.9684332814,167581714.17652032,4316549.625856257,4288649.161422649,9756671.961911136,3000000.0,2829527.0,1582844.0353756233,133603.4095878202,171545966.45690596,1893030.404610751,185000.0,331331.0
9,2028.0,2.7211007540506036,0.4241673027023766,0.195,1356342.994019339,195215188.0197522,77159738.01746148,10231558.0,63075758.770794675,29301564.309757967,37701702.80557721,21084197.373342894,5000000.0,5063582.0,3078219.3400928145,167471135.180219,3839578.9684332814,4413995.339439468,9535215.958253264,3000000.0,3252047.0,789359.2605677341,65815.05773047543,176559813.57757872,1853320.0401975221,302728.24220580515,348374.0
